指标名称,中国神华:总发电量:当月值
2007-01-31,70.50 
2007-02-28,46.60 
2007-03-31,53.50 
2007-04-30,60.40 
2007-05-31,59.90 
2007-06-30,58.70 
2007-07-31,73.10 
2007-08-31,72.30 
2007-09-30,61.60 
2007-10-31,63.20 
2007-11-30,65.70 
2007-12-31,75.90 
2008-01-31,90.00 
2008-02-29,63.20 
2008-03-31,82.70 
2008-04-30,77.80 
2008-05-31,80.30 
2008-06-30,80.00 
2008-07-31,102.00 
2008-08-31,100.00 
2008-09-30,100.00 
2008-10-31,71.90 
2008-11-30,68.30 
2008-12-31,82.30 
2009-01-31,63.10 
2009-02-28,67.00 
2009-03-31,81.60 
2009-04-30,72.80 
2009-05-31,70.20 
2009-06-30,80.20 
2009-07-31,91.80 
2009-08-31,93.80 
2009-09-30,99.00 
2009-10-31,101.30 
2009-11-30,109.70 
2009-12-31,120.40 
2010-01-31,130.30 
2010-02-28,78.60 
2010-03-31,115.00 
2010-04-30,118.20 
2010-05-31,119.80 
2010-06-30,120.70 
2010-07-31,138.80 
2010-08-31,134.50 
2010-09-30,111.40 
2010-10-31,96.80 
2010-11-30,105.60 
2010-12-31,141.80 
2011-01-31,137.50 
2011-02-28,98.90 
2011-03-31,148.70 
2011-04-30,156.10 
2011-05-31,159.50 
2011-06-30,160.00 
2011-07-31,170.50 
2011-08-31,188.20 
2011-09-30,163.40 
2011-10-31,158.30 
2011-11-30,153.20 
2011-12-31,159.80 
2012-01-31,146.40 
2012-02-29,160.60 
2012-03-31,182.90 
2012-04-30,179.90 
2012-05-31,186.10 
2012-06-30,171.40 
2012-07-31,188.90 
2012-08-31,185.30 
2012-09-30,154.80 
2012-10-31,162.30 
2012-11-30,167.30 
2012-12-31,193.10 
2013-01-31,195.70 
2013-02-28,129.00 
2013-03-31,179.60 
2013-04-30,173.40 
2013-05-31,179.90 
2013-06-30,197.00 
2013-07-31,219.40 
2013-08-31,227.00 
2013-09-30,193.90 
2013-10-31,183.50 
2013-11-30,180.50 
2013-12-31,194.90 
2014-01-31,175.20 
2014-02-28,150.40 
2014-03-31,190.00 
2014-04-30,179.80 
2014-05-31,181.20 
2014-06-30,188.60 
2014-07-31,198.40 
2014-08-31,182.10 
2014-09-30,158.80 
2014-10-31,162.10 
2014-11-30,171.00 
2014-12-31,203.70 
2015-01-31,219.80 
2015-02-28,128.20 
2015-03-31,178.90 
2015-04-30,191.50 
2015-05-31,192.00 
2015-06-30,191.60 
2015-07-31,200.10 
2015-08-31,205.00 
2015-09-30,180.00 
2015-10-31,177.70 
2015-11-30,183.80 
2015-12-31,209.20 
2016-01-31,206.20 
2016-02-29,141.80 
2016-03-31,201.00 
2016-04-30,190.70 
2016-05-31,183.10 
2016-06-30,187.30 
2016-07-31,215.90 
2016-08-31,232.50 
2016-09-30,190.20 
2016-10-31,191.60 
2016-11-30,198.80 
2016-12-31,221.30 
2017-01-31,198.20 
2017-02-28,179.30 
2017-03-31,221.50 
2017-04-30,191.70 
2017-05-31,208.90 
2017-06-30,220.90 
