指标名称,进口数量:铜矿石及精矿:当月值,进口平均单价:铜矿砂及其精矿:当月值,进口金额:铜矿砂及其精矿:当月值
2010-01-04,,,
2010-01-05,,,
2010-01-06,,,
2010-01-07,,,
2010-01-08,,,
2010-01-11,,,
2010-01-12,,,
2010-01-14,,,
2010-01-15,,,
2010-01-18,,,
2010-01-19,,,
2010-01-20,,,
2010-01-21,,,
2010-01-22,,,
2010-01-25,,,
2010-01-26,,,
2010-01-27,,,
2010-01-28,,,
2010-01-29,,,
2010-01-31,59.81 ,1851.00 ,109208.80 
2010-02-01,,,
2010-02-02,,,
2010-02-03,,,
2010-02-04,,,
2010-02-05,,,
2010-02-23,,,
2010-02-24,,,
2010-02-25,,,
2010-02-26,,,
2010-02-28,56.65 ,1868.45 ,106501.50 
2010-03-01,,,
2010-03-03,,,
2010-03-08,,,
2010-03-09,,,
2010-03-10,,,
2010-03-12,,,
2010-03-15,,,
2010-03-16,,,
2010-03-17,,,
2010-03-18,,,
2010-03-19,,,
2010-03-22,,,
2010-03-23,,,
2010-03-24,,,
2010-03-25,,,
2010-03-26,,,
2010-03-30,,,
2010-03-31,54.08 ,2002.63 ,108141.90 
2010-04-01,,,
2010-04-02,,,
2010-04-07,,,
2010-04-08,,,
2010-04-09,,,
2010-04-12,,,
2010-04-13,,,
2010-04-14,,,
2010-04-16,,,
2010-04-19,,,
2010-04-20,,,
2010-04-21,,,
2010-04-22,,,
2010-04-26,,,
2010-04-27,,,
2010-04-29,,,
2010-04-30,60.24 ,1813.62 ,110630.60 
2010-05-04,,,
2010-05-05,,,
2010-05-06,,,
2010-05-07,,,
2010-05-10,,,
2010-05-11,,,
2010-05-14,,,
2010-05-19,,,
2010-05-20,,,
2010-05-21,,,
2010-05-24,,,
2010-05-25,,,
2010-05-26,,,
2010-05-27,,,
2010-05-28,,,
2010-05-31,47.90 ,1950.67 ,93632.00 
2010-06-01,,,
2010-06-03,,,
2010-06-04,,,
2010-06-07,,,
2010-06-08,,,
2010-06-09,,,
2010-06-10,,,
2010-06-11,,,
2010-06-17,,,
2010-06-18,,,
2010-06-21,,,
2010-06-22,,,
2010-06-23,,,
2010-06-24,,,
2010-06-25,,,
2010-06-28,,,
2010-06-29,,,
2010-06-30,55.05 ,1984.49 ,109146.90 
2010-07-01,,,
2010-07-02,,,
2010-07-05,,,
2010-07-06,,,
2010-07-07,,,
2010-07-08,,,
2010-07-09,,,
2010-07-12,,,
2010-07-13,,,
2010-07-14,,,
2010-07-15,,,
2010-07-16,,,
2010-07-19,,,
2010-07-20,,,
2010-07-22,,,
2010-07-23,,,
2010-07-26,,,
2010-07-27,,,
2010-07-28,,,
2010-07-29,,,
2010-07-30,,,
2010-07-31,46.65 ,1889.07 ,88786.10 
2010-08-02,,,
2010-08-03,,,
2010-08-04,,,
2010-08-05,,,
2010-08-06,,,
2010-08-09,,,
2010-08-10,,,
2010-08-11,,,
2010-08-12,,,
2010-08-13,,,
2010-08-16,,,
2010-08-17,,,
2010-08-18,,,
2010-08-19,,,
2010-08-20,,,
2010-08-23,,,
2010-08-25,,,
2010-08-26,,,
2010-08-27,,,
2010-08-30,,,
2010-08-31,47.45 ,1825.69 ,85807.40 
2010-09-01,,,
2010-09-02,,,
2010-09-03,,,
2010-09-06,,,
2010-09-07,,,
2010-09-09,,,
2010-09-10,,,
2010-09-13,,,
2010-09-14,,,
2010-09-15,,,
2010-09-16,,,
2010-09-17,,,
2010-09-20,,,
2010-09-21,,,
2010-09-25,,,
2010-09-27,,,
2010-09-28,,,
2010-09-29,,,
2010-09-30,68.35 ,1895.33 ,128882.20 
2010-10-08,,,
2010-10-11,,,
2010-10-12,,,
2010-10-13,,,
2010-10-14,,,
2010-10-15,,,
2010-10-18,,,
2010-10-19,,,
2010-10-20,,,
2010-10-21,,,
2010-10-22,,,
2010-10-25,,,
2010-10-26,,,
2010-10-27,,,
2010-10-28,,,
2010-10-29,,,
2010-10-31,47.22 ,1994.47 ,93739.90 
2010-11-01,,,
2010-11-02,,,
2010-11-03,,,
2010-11-04,,,
2010-11-08,,,
2010-11-09,,,
2010-11-10,,,
2010-11-11,,,
2010-11-12,,,
2010-11-15,,,
2010-11-17,,,
2010-11-18,,,
2010-11-19,,,
2010-11-22,,,
2010-11-23,,,
2010-11-24,,,
2010-11-25,,,
2010-11-26,,,
2010-11-29,,,
2010-11-30,55.28 ,2122.18 ,116719.90 
2010-12-01,,,
2010-12-02,,,
2010-12-03,,,
2010-12-06,,,
2010-12-07,,,
2010-12-08,,,
2010-12-09,,,
2010-12-10,,,
2010-12-13,,,
2010-12-14,,,
2010-12-15,,,
2010-12-16,,,
2010-12-17,,,
2010-12-20,,,
2010-12-21,,,
2010-12-22,,,
2010-12-23,,,
2010-12-27,,,
2010-12-28,,,
2010-12-30,,,
2010-12-31,48.51 ,2238.86 ,109704.30 
2011-01-04,,,
2011-01-06,,,
2011-01-11,,,
2011-01-14,,,
2011-01-17,,,
2011-01-18,,,
2011-01-19,,,
2011-01-20,,,
2011-01-24,,,
2011-01-27,,,
2011-01-31,57.10 ,2272.80 ,129549.80 
2011-02-10,,,
2011-02-11,,,
2011-02-15,,,
2011-02-16,,,
2011-02-17,,,
2011-02-22,,,
2011-02-23,,,
2011-02-24,,,
2011-02-25,,,
2011-02-28,39.83 ,2492.65 ,99706.00 
2011-03-01,,,
2011-03-02,,,
2011-03-03,,,
2011-03-04,,,
2011-03-07,,,
2011-03-08,,,
2011-03-09,,,
2011-03-10,,,
2011-03-14,,,
2011-03-15,,,
2011-03-16,,,
2011-03-17,,,
2011-03-18,,,
2011-03-21,,,
2011-03-22,,,
2011-03-25,,,
2011-03-28,,,
2011-03-29,,,
2011-03-30,,,
2011-03-31,45.08 ,2497.06 ,112367.90 
2011-04-01,,,
2011-04-06,,,
2011-04-07,,,
2011-04-08,,,
2011-04-11,,,
2011-04-12,,,
2011-04-13,,,
2011-04-14,,,
2011-04-15,,,
2011-04-18,,,
2011-04-19,,,
2011-04-20,,,
2011-04-21,,,
2011-04-22,,,
2011-04-26,,,
2011-04-27,,,
2011-04-28,,,
2011-04-29,,,
2011-04-30,46.58 ,2475.72 ,116358.80 
2011-05-03,,,
2011-05-04,,,
2011-05-05,,,
2011-05-06,,,
2011-05-09,,,
2011-05-10,,,
2011-05-11,,,
2011-05-12,,,
2011-05-13,,,
2011-05-16,,,
2011-05-17,,,
2011-05-18,,,
2011-05-19,,,
2011-05-20,,,
2011-05-23,,,
2011-05-24,,,
2011-05-25,,,
2011-05-26,,,
2011-05-27,,,
2011-05-30,,,
2011-05-31,46.56 ,2563.96 ,120505.90 
2011-06-01,,,
2011-06-02,,,
2011-06-03,,,
2011-06-07,,,
2011-06-08,,,
2011-06-09,,,
2011-06-10,,,
2011-06-13,,,
