"","time","actual","pred"
"1",2010 Q1,3978675220.87667,4571606942.12844
"2",2010 Q2,4752719836.13932,5340538204.72197
"3",2010 Q3,4634574084.38444,4244286156.49651
"4",2010 Q4,4735364398.958,4616211162.21586
"5",2011 Q1,5152025369.887,4533276065.8326
"6",2011 Q2,6788168464.66364,6242931547.07648
"7",2011 Q3,6119785483.526,6527042465.8677
"8",2011 Q4,5921056261.44481,6752818981.47255
"9",2012 Q1,5708110505.006,5997959171.49794
"10",2012 Q2,7942078068.78909,7378350705.71149
"11",2012 Q3,7296323552.663,7218325638.8138
"12",2012 Q4,9300424315.30615,9132726073.36389
"13",2013 Q1,7579166148.124,7695732626.22349
"14",2013 Q2,7891362072.21795,8644152778.42245
"15",2013 Q3,8174189069.765,9135759617.20348
"16",2013 Q4,10188763673.8282,9720961848.03798
"17",2014 Q1,7871830481.219,7046525233.01586
"18",2014 Q2,10312720949.4693,8977768820.8386
"19",2014 Q3,10387394021.317,9652347158.04161
"20",2014 Q4,10557505810.1205,10839691568.3028
"21",2015 Q1,7221916023.123,7343363668.37506
"22",2015 Q2,8540775360.43091,9338160290.83223
"23",2015 Q3,9098515031.11,9500953683.44814
"24",2015 Q4,11518930088.6706,10594998657.9601
"25",2016 Q1,7778684629.61111,7679837702.52195
"26",2016 Q2,9962186804.41864,10268109208.5256
"27",2016 Q3,11413790678.9818,9984279382.34443
"28",2016 Q4,11132013779.2073,11569360158.5028
"29",2017 Q1,8128016005.97364,9538990671.43619
