"","time","actual","pred"
"1",2010 Q1,134144997.782222,162233734.344316
"2",2010 Q2,183064018.656818,159914921.285315
"3",2010 Q3,186930694.992222,169731645.567148
"4",2010 Q4,236692519.2205,245550208.291629
"5",2011 Q1,226789888.355,201923415.207932
"6",2011 Q2,356327901.659318,337019453.420552
"7",2011 Q3,191626555.872,237555697.439322
"8",2011 Q4,158706232.161154,151193701.190468
"9",2012 Q1,210554700.4,203598278.108137
"10",2012 Q2,136006535.255455,147315385.323093
"11",2012 Q3,130745973.7,140269495.563655
"12",2012 Q4,197745302.231346,197052356.498566
"13",2013 Q1,116607565.35,103444585.124894
"14",2013 Q2,-18765940.8077273,4152811.19055317
"15",2013 Q3,84231808.412,88396562.0869019
"16",2013 Q4,169662940.042727,136726325.202519
"17",2014 Q1,66494590.191,63768298.7134158
"18",2014 Q2,116375790.954318,108365068.196239
"19",2014 Q3,156975859.052,198248366.511876
"20",2014 Q4,69654004.6139286,42213710.1407916
"21",2015 Q1,40773810.991,34570683.8418348
"22",2015 Q2,116726330.592727,124726724.78286
"23",2015 Q3,-24086297.969,-2078014.42497199
"24",2015 Q4,-44447923.2736538,-44874245.640206
"25",2016 Q1,25879982.87,44064207.1475936
"26",2016 Q2,85141442.68,109808201.567598
"27",2016 Q3,156343277.209091,87123398.4592535
"28",2016 Q4,83944944.3881818,106631289.410953
"29",2017 Q1,141364356.422727,133565597.453118
