"","time","actual","pred"
"1",2011 Q1,76893601.589,290255867.800435
"2",2011 Q2,612707870.806364,625126534.577536
"3",2011 Q3,511783727.972222,332836292.792178
"4",2011 Q4,-3441012.8215385,91784778.1182673
"5",2012 Q1,-21555489.084,36600958.4168933
"6",2012 Q2,461931816.298,337423658.005862
"7",2012 Q3,176831678.446,230926278.077548
"8",2012 Q4,223673464.802308,237213200.668489
"9",2013 Q1,110594554.958,205139075.014253
"10",2013 Q2,361516126.598636,448102625.918079
"11",2013 Q3,-80065460.773,217190155.739421
"12",2013 Q4,625971386.022,343546231.641811
"13",2014 Q1,75814171.674,-111025449.363209
"14",2014 Q2,551864232.500682,279151221.092958
"15",2014 Q3,469559894.573,355731934.891469
"16",2014 Q4,26584942.2157143,227500440.075034
"17",2015 Q1,75770406.561,-71116352.7565752
"18",2015 Q2,823893277.394545,913485577.775457
"19",2015 Q3,371978641.248,494296104.335077
"20",2015 Q4,-255110662.483654,-14705954.8448439
"21",2016 Q1,-507364.765555558,-188405377.953209
"22",2016 Q2,125196453.596818,256564505.933421
"23",2016 Q3,864289567.207273,503420802.395162
"24",2016 Q4,324409775.563636,294551570.909927
"25",2017 Q1,-164185629.382727,10805291.4552826
