"","time","actual","pred"
"1",2010 Q2,4950821797.75955,5606133365.79328
"2",2010 Q3,4887099743.74667,5665834352.71083
"3",2010 Q4,4957384232.064,5370706951.59583
"4",2011 Q1,5385282734.161,4692520157.33105
"5",2011 Q2,7147708833.23182,6880361008.55984
"6",2011 Q3,6403534875.717,7466049576.30626
"7",2011 Q4,6344046596.48536,7133398417.96718
"8",2012 Q1,5943008850.721,5316434142.5257
"9",2012 Q2,7092161070.57773,6758042366.08673
"10",2012 Q3,7436419518.021,7479229370.23073
"11",2012 Q4,9465805678.48308,8922367000.64706
"12",2013 Q1,7697964563.917,6730059188.11289
"13",2013 Q2,8088446710.37833,8285847660.78827
"14",2013 Q3,8233684807.122,8818126255.90247
"15",2013 Q4,9418052825.25773,9688261275.71254
"16",2014 Q1,7877237827.456,8368778583.95071
"17",2014 Q2,10439543522.9282,9285041267.8152
"18",2014 Q3,10517714772.303,10661741586.8447
"19",2014 Q4,10583491129.1532,11742614190.2964
"20",2015 Q1,7239101214.55,7573568240.73238
"21",2015 Q2,8644318190.61591,9072460402.95427
"22",2015 Q3,9038488554.32,9387710770.02364
"23",2015 Q4,11418547649.8523,10413990848.7605
"24",2016 Q1,7810006283.1,7629295896.22401
"25",2016 Q2,10046834722.5782,8834345666.87836
"26",2016 Q3,11547846181.8364,9779458784.97823
"27",2016 Q4,11366295650.9955,11537579469.5358
"28",2017 Q1,8289778910.02182,9170670648.08883
