指标名称,出口数量:铝矿砂及其精矿:当月值,进口数量:铝矿砂及其精矿:累计值,产量:原铝(电解铝):当月值,产量:原铝(电解铝):当月同比,进口数量:铝土矿:当月值,进口数量:铝制品:当月值,进口数量:铝型材:当月值,进口数量:铝板带:当月值,进口数量:原铝:当月值,力拓:产量:铝土矿:当季值,产量:氧化铝:当月值,产量:铝材:当月值,进口数量:氧化铝:当月值,市场价:铝锭:A00:全国,平均价:氧化铝:连云港一级AL2O3含量≥98.6%:澳大利亚,平均价:氧化铝:一级:广西百色,平均价:氧化铝:一级:山东,价格:铝土矿:Al/Si>7:贵阳,价格:铝土矿:AI/SI>7:百色,价格:铝棒:6063:φ90/100/120/150/178:佛山,产量:火电:当月值,产量:水电:当月值,产量:风电:当月值,产量:汽车:当月值,出口数量:集装箱:当月值,产量:金属集装箱:当月值,工业增加值:铁路、船舶、航空航天和其他运输设备制造业:当月同比,房屋新开工面积:累计值,申万行业指数:包装印刷,申万行业指数:铝,产量:包装专用设备:当月值
2010-01-04,,,,,,,,,,,,,,,2975.00 ,2800.00 ,,,,,,,,,,,,,2466.11 ,4395.35 ,
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468.85 ,4553.73 ,
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464.92 ,4635.62 ,
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.25 ,4643.43 ,
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2435.19 ,4617.87 ,
2010-01-11,,,,,,,,,,,,,,,3025.00 ,2800.00 ,,,,,,,,,,,,,2465.37 ,4673.02 ,
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2552.64 ,4751.23 ,
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2514.51 ,4467.80 ,
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2574.90 ,4487.76 ,
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2593.32 ,4497.53 ,
2010-01-18,,,,,,,,,,,,,,,3075.00 ,3000.00 ,,,,,,,,,,,,,2621.28 ,4487.19 ,
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597.14 ,4525.82 ,
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.31 ,4340.51 ,
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2521.10 ,4275.80 ,
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2476.67 ,4145.33 ,
2010-01-25,,,,,,,,,,,,,,,3075.00 ,3000.00 ,,,,,,,,,,,,,2430.71 ,4144.96 ,
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2327.45 ,3991.18 ,
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282.17 ,3924.77 ,
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298.37 ,3907.65 ,
2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298.46 ,3890.43 ,
2010-01-31,,1791528436.00 ,126.20 ,44.75 ,1791528.00 ,45947.00 ,5155494.00 ,35086634.00 ,40059.00 ,,250.68 ,141.51 ,674519.00 ,,,,,,,,2932.35 ,302.09 ,23.30 ,162.49 ,130000.00 ,1793005.11 ,,,,,4874.10 
2010-02-01,,,,,,,,,,,,,,,3000.00 ,3000.00 ,,,,,,,,,,,,,2234.35 ,3718.23 ,
2010-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2221.87 ,3770.41 ,
2010-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2268.70 ,3954.28 ,
2010-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297.85 ,3901.69 ,
2010-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2242.13 ,3771.92 ,
2010-02-08,,,,,,,,,,,,,,,3000.00 ,3000.00 ,,,,,,,,,,,,,2253.28 ,3754.60 ,
2010-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264.49 ,3815.37 ,
2010-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2303.57 ,3872.58 ,
2010-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2303.36 ,3903.35 ,
2010-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2316.92 ,3962.66 ,
2010-02-22,,,,,,,,,,,,,,,3000.00 ,3000.00 ,,,,,,,,,,,,,2301.14 ,3954.55 ,
2010-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321.38 ,3933.02 ,
2010-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2375.21 ,3979.70 ,
2010-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2404.64 ,4047.98 ,
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430.57 ,3998.50 ,
2010-02-28,,3729592498.00 ,130.80 ,46.60 ,1938064.00 ,35266.00 ,5224784.00 ,24132007.00 ,19171.00 ,,235.80 ,156.30 ,410684.00 ,,,,,,,,2299.00 ,260.00 ,22.10 ,122.60 ,70000.00 ,1372046.86 ,28.40 ,14914.32 ,,,3894.00 
2010-03-01,,,,,,,,,,,,,,,3000.00 ,3000.00 ,,,,,,,,,,,,,2438.20 ,4092.10 ,
2010-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2473.37 ,4014.04 ,
2010-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490.54 ,4029.65 ,
2010-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2413.25 ,3906.29 ,
2010-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461.53 ,3918.29 ,
2010-03-08,,,,,,,,,,,,,,,2850.00 ,3000.00 ,,,,,,,,,,,,,2479.01 ,3968.80 ,
2010-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465.98 ,3986.36 ,
2010-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457.01 ,3999.18 ,
2010-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2434.13 ,3982.89 ,
2010-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395.62 ,3901.39 ,
2010-03-15,,,,,,,,,,,,,,,2850.00 ,3000.00 ,,,,,,,,,,,,,2401.02 ,3835.43 ,
2010-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424.08 ,3843.45 ,
2010-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475.40 ,3940.48 ,
2010-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484.48 ,3946.28 ,
2010-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490.60 ,4201.09 ,
2010-03-22,,,,,,,,,,,,,,,2875.00 ,3000.00 ,,,,,,,,,,,,,2500.16 ,4109.01 ,
2010-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483.92 ,4057.04 ,
2010-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2498.30 ,4044.24 ,
2010-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456.72 ,3970.93 ,
2010-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2502.12 ,4020.77 ,
2010-03-29,,,,,,,,,,,,,,,2875.00 ,3000.00 ,,,,,,,,,,,,,2522.03 ,4095.35 ,
2010-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2536.28 ,4122.46 ,
