"","time","actual","pred"
"1",2011 Q1,31474230.669697,30209394.394007
"2",2011 Q2,41599094.0642424,42242124.7532487
"3",2011 Q3,33867162.0433333,33697256.7178246
"4",2011 Q4,16840365.8309091,19213073.221285
"5",2012 Q1,11543485.1231818,12595508.8277107
"6",2012 Q2,18779802.8177273,20181363.6135342
"7",2012 Q3,12523252.2877273,14815384.2929338
"8",2012 Q4,1140819.79590909,5710135.51451313
"9",2013 Q1,16059386.9459091,22495461.6877142
"10",2013 Q2,17773176.6386364,17411282.0894711
"11",2013 Q3,13338422.2459091,12187867.0599078
"12",2013 Q4,12860714.6204545,10734963.4944064
"13",2014 Q1,14614837.8197727,12950004.7537707
"14",2014 Q2,13892948.2261364,10539352.3381688
"15",2014 Q3,20366479.3861364,5669083.46329294
"16",2014 Q4,7900670.33795454,6606474.09545185
"17",2015 Q1,11991349.4081818,16468389.2075211
"18",2015 Q2,16801752.73,17615881.7395074
"19",2015 Q3,6170751.37136364,6326353.93555008
"20",2015 Q4,-13458640.0404545,-10046718.6818124
"21",2016 Q1,6775538.54272727,8590114.94887168
"22",2016 Q2,35653973.1436364,32282843.7878635
"23",2016 Q3,12865576.1972727,15594206.1960553
"24",2016 Q4,37768742.8254545,33408091.0223215
"25",2017 Q1,33791860.4263636,35437860.9850626
