"","time","actual","pred"
"1",2011 Q1,536056674.063333,535178146.400215
"2",2011 Q2,627414064.371515,624385438.88603
"3",2011 Q3,622648181.020606,624914130.571932
"4",2011 Q4,592284937.219091,602045059.683103
"5",2012 Q1,594152654.450909,578630743.874982
"6",2012 Q2,622649425.851818,619770856.788479
"7",2012 Q3,612114411.888636,628371977.353028
"8",2012 Q4,585905617.791364,589574736.731069
"9",2013 Q1,552657827.548409,551598149.246429
"10",2013 Q2,626136911.023864,621020911.988299
"11",2013 Q3,628686628.954773,601330551.851113
"12",2013 Q4,613604039.529318,625581058.826963
"13",2014 Q1,561073723.403636,568467808.769143
"14",2014 Q2,619665280.777273,628805615.246314
"15",2014 Q3,628336582.487273,599800555.707386
"16",2014 Q4,632428482.760909,626630794.533811
"17",2015 Q1,557700454.880227,567157474.074693
"18",2015 Q2,606064304.382955,611485871.919357
"19",2015 Q3,553580907.369318,566490521.393739
"20",2015 Q4,561606978.948409,555772110.09583
"21",2016 Q1,483599664.926818,475725267.935298
"22",2016 Q2,546698711.386818,549757041.839207
"23",2016 Q3,564794816.981818,580307183.143666
"24",2016 Q4,732825508.270909,721401374.457339
"25",2017 Q1,643128600.143636,651612009.11621
