"","time","actual","pred"
"1",2011 Q1,-38100271.0051515,-42971559.0285645
"2",2011 Q2,9541138.26484849,26388476.9250837
"3",2011 Q3,91159925.5198333,68809718.9907757
"4",2011 Q4,-26698811.0886364,-5006801.35897174
"5",2012 Q1,-6429358.75613637,-444187.528088957
"6",2012 Q2,-1110651.58159091,3149791.07819279
"7",2012 Q3,44078182.0893182,40617107.6599468
"8",2012 Q4,59671008.9538636,74522186.4009158
"9",2013 Q1,-14690357.8590909,-17424161.1305474
"10",2013 Q2,1954748.44,8934856.3165089
"11",2013 Q3,-26838029.5227273,-17888943.7163497
"12",2013 Q4,56293347.3581818,54932013.73531
"13",2014 Q1,68418419.4688636,90367619.4878441
"14",2014 Q2,149442975.063409,133672166.570128
"15",2014 Q3,29782437.7934091,7255161.12451679
"16",2014 Q4,-18894885.9520454,-13208417.5734488
"17",2015 Q1,-28301638.8404545,-43691532.5407717
"18",2015 Q2,-17579774.7795455,-6313428.54368775
"19",2015 Q3,-22813606.1559091,-25060331.1290858
"20",2015 Q4,70237862.5522727,67455015.3600558
"21",2016 Q1,2772489.00772727,-7030446.81537408
"22",2016 Q2,-12168435.7686364,-28739580.2735517
"23",2016 Q3,-66350041.16,-64634785.8737944
"24",2016 Q4,25390995.1290909,-560157.562529195
"25",2017 Q1,-41823780.0163636,-16185893.4199821
