"","time","actual","pred"
"1",2011 Q1,563424415.598485,548878377.972576
"2",2011 Q2,657126758.393939,656911102.761247
"3",2011 Q3,653511696.143939,665624500.067954
"4",2011 Q4,603761970.870909,632603019.322551
"5",2012 Q1,594973365.087955,570024425.749768
"6",2012 Q2,632457674.147045,630833126.542752
"7",2012 Q3,619315051.096136,594307114.058318
"8",2012 Q4,577461557.250682,605301206.826368
"9",2013 Q1,560462331.3475,558046228.340687
"10",2013 Q2,635280397.266591,638913763.595899
"11",2013 Q3,638558026.0875,628943832.907892
"12",2013 Q4,624048925.824773,615934288.887739
"13",2014 Q1,571308474.969091,577440010.291767
"14",2014 Q2,631577734.970909,636751659.155469
"15",2014 Q3,645333997.606364,627686006.496493
"16",2014 Q4,616144825.516364,623107799.473467
"17",2015 Q1,567735607.408864,585112454.001097
"18",2015 Q2,622581864.675227,610453817.372282
"19",2015 Q3,552787542.364318,570337833.679741
"20",2015 Q4,540731458.175227,529444704.184501
"21",2016 Q1,496085928.744091,494318922.312196
"22",2016 Q2,584759847.148636,589920807.174701
"23",2016 Q3,583852220.7,606459246.787859
"24",2016 Q4,758190648.919091,713948367.862419
"25",2017 Q1,671886556.515455,692056261.003348
