"corp_name","report_period","营业总收入"
"北京物美商业集团股份有限公司",2010-12-31 00:00:00,14436198563.31
"北京物美商业集团股份有限公司",2011-09-30 00:00:00,12410998249.74
"北京物美商业集团股份有限公司",2011-12-31 00:00:00,16669156333.52
"北京物美商业集团股份有限公司",2012-03-31 00:00:00,4833600054.43
"北京物美商业集团股份有限公司",2012-06-30 00:00:00,8722167421.13
"北京物美商业集团股份有限公司",2012-09-30 00:00:00,13141306690.12
"北京物美商业集团股份有限公司",2012-12-31 00:00:00,17634210620.89
"北京物美商业集团股份有限公司",2013-03-31 00:00:00,5324086647.24
"北京物美商业集团股份有限公司",2013-06-30 00:00:00,9747003318.37
"北京物美商业集团股份有限公司",2013-09-30 00:00:00,14593282440.41
"北京首商集团股份有限公司",2010-03-31 00:00:00,732526831.04
"北京首商集团股份有限公司",2010-06-30 00:00:00,1376077677.05
"北京首商集团股份有限公司",2010-09-30 00:00:00,2087484247.95
"北京首商集团股份有限公司",2010-12-31 00:00:00,2992858212.52
"北京首商集团股份有限公司",2011-03-31 00:00:00,959928420.24
"北京首商集团股份有限公司",2011-06-30 00:00:00,5854860325.28
"北京首商集团股份有限公司",2011-09-30 00:00:00,8504422876.66
"北京首商集团股份有限公司",2011-12-31 00:00:00,11688022114.61
"北京首商集团股份有限公司",2012-03-31 00:00:00,3283637180.29
"北京首商集团股份有限公司",2012-06-30 00:00:00,6232215265.65
"北京首商集团股份有限公司",2012-09-30 00:00:00,8958110084.19
"北京首商集团股份有限公司",2012-12-31 00:00:00,12225433116.91
"北京首商集团股份有限公司",2013-03-31 00:00:00,3353589246.7
"北京首商集团股份有限公司",2013-06-30 00:00:00,6212344011.77
"北京首商集团股份有限公司",2013-09-30 00:00:00,8864695746.89
"北京首商集团股份有限公司",2013-12-31 00:00:00,12067081698.11
"北京首商集团股份有限公司",2014-03-31 00:00:00,3237523228.44
"北京首商集团股份有限公司",2014-06-30 00:00:00,6024554013.51
"北京首商集团股份有限公司",2014-09-30 00:00:00,8687555019.23
"北京首商集团股份有限公司",2014-12-31 00:00:00,11814665877.75
"北京首商集团股份有限公司",2015-03-31 00:00:00,3125363148.98
"北京首商集团股份有限公司",2015-06-30 00:00:00,5763887380.86
"北京首商集团股份有限公司",2015-09-30 00:00:00,8174559106.67
"北京首商集团股份有限公司",2015-12-31 00:00:00,10935864225.9
"北京首商集团股份有限公司",2016-03-31 00:00:00,2748964151.33
"北京首商集团股份有限公司",2016-06-30 00:00:00,5166851350.89
"北京首商集团股份有限公司",2016-09-30 00:00:00,7403320092.51
"北京首商集团股份有限公司",2016-12-31 00:00:00,10077403236.12
"北京首商集团股份有限公司",2017-03-31 00:00:00,2697588386.19
"中国供销集团有限公司",2010-06-30 00:00:00,41150724635.03
"中国供销集团有限公司",2010-12-31 00:00:00,96794984923.58
"中国供销集团有限公司",2011-09-30 00:00:00,88191626842.85
"中国供销集团有限公司",2011-12-31 00:00:00,117818139438.68
"中国供销集团有限公司",2012-03-31 00:00:00,21377859503.33
"中国供销集团有限公司",2012-06-30 00:00:00,52363381818.81
"中国供销集团有限公司",2012-09-30 00:00:00,90921274314.46
"中国供销集团有限公司",2012-12-31 00:00:00,126422834517.58
"中国供销集团有限公司",2013-03-31 00:00:00,30027734547.9
"中国供销集团有限公司",2013-06-30 00:00:00,62354367885.87
"中国供销集团有限公司",2013-09-30 00:00:00,89124351764.76
