"corp_name","report_period","营业总收入"
"奥瑞金包装股份有限公司",2010-12-31 00:00:00,1963158524
"奥瑞金包装股份有限公司",2011-09-30 00:00:00,2101116670
"奥瑞金包装股份有限公司",2011-12-31 00:00:00,2840925616
"奥瑞金包装股份有限公司",2012-06-30 00:00:00,1578462087
"奥瑞金包装股份有限公司",2012-09-30 00:00:00,2540485233
"奥瑞金包装股份有限公司",2012-12-31 00:00:00,3506432818
"奥瑞金包装股份有限公司",2013-03-31 00:00:00,1113248690
"奥瑞金包装股份有限公司",2013-06-30 00:00:00,2242362162
"奥瑞金包装股份有限公司",2013-09-30 00:00:00,3527507183
"奥瑞金包装股份有限公司",2013-12-31 00:00:00,4567022558
"奥瑞金包装股份有限公司",2014-03-31 00:00:00,1338743370
"奥瑞金包装股份有限公司",2014-06-30 00:00:00,2694727114
"奥瑞金包装股份有限公司",2014-09-30 00:00:00,4200223055
"奥瑞金包装股份有限公司",2014-12-31 00:00:00,5454631332
"奥瑞金包装股份有限公司",2015-03-31 00:00:00,1665842376
"奥瑞金包装股份有限公司",2015-06-30 00:00:00,3317727058
"奥瑞金包装股份有限公司",2015-09-30 00:00:00,5135311488
"奥瑞金包装股份有限公司",2015-12-31 00:00:00,6662353093
"奥瑞金包装股份有限公司",2016-03-31 00:00:00,1717681818
"奥瑞金包装股份有限公司",2016-06-30 00:00:00,3445570283
"奥瑞金包装股份有限公司",2016-09-30 00:00:00,5623225064
"奥瑞金包装股份有限公司",2016-12-31 00:00:00,7598651622
"奥瑞金包装股份有限公司",2017-03-31 00:00:00,1295807458
"中闻印务投资集团有限公司",2010-12-31 00:00:00,340865865.79
"中闻印务投资集团有限公司",2011-12-31 00:00:00,352578632.15
"中闻印务投资集团有限公司",2012-12-31 00:00:00,370413174.83
"中闻印务投资集团有限公司",2013-09-30 00:00:00,238765493.14
"中闻印务投资集团有限公司",2013-12-31 00:00:00,334339967.89
"中闻印务投资集团有限公司",2014-03-31 00:00:00,66132070.3
"中闻印务投资集团有限公司",2014-06-30 00:00:00,154627474.3
"中闻印务投资集团有限公司",2014-09-30 00:00:00,231631432.86
"中闻印务投资集团有限公司",2014-12-31 00:00:00,325485615.53
"中闻印务投资集团有限公司",2015-03-31 00:00:00,68397993.46
"中闻印务投资集团有限公司",2015-06-30 00:00:00,151901759.43
"中闻印务投资集团有限公司",2015-09-30 00:00:00,224808853.64
"北京盛通印刷股份有限公司",2010-12-31 00:00:00,449390372.93
"北京盛通印刷股份有限公司",2011-06-30 00:00:00,219747780.09
"北京盛通印刷股份有限公司",2011-09-30 00:00:00,348374832.21
