"corp_name","report_period","营业总收入"
"河北宝硕股份有限公司",2010-03-31,274928021.67
"河北宝硕股份有限公司",2010-06-30,511136115.65
"河北宝硕股份有限公司",2010-09-30,719572899.66
"河北宝硕股份有限公司",2010-12-31,1012448986.54
"河北宝硕股份有限公司",2011-03-31,296541983.08
"河北宝硕股份有限公司",2011-06-30,554500420.19
"河北宝硕股份有限公司",2011-09-30,831597783.44
"河北宝硕股份有限公司",2011-12-31,1072084414.36
"河北宝硕股份有限公司",2012-03-31,230851018.38
"河北宝硕股份有限公司",2012-06-30,366632763.8
"河北宝硕股份有限公司",2012-09-30,370942089.26
"河北宝硕股份有限公司",2012-12-31,378805013.46
"河北宝硕股份有限公司",2013-03-31,11648818.89
"河北宝硕股份有限公司",2013-06-30,14973199.69
"河北宝硕股份有限公司",2013-09-30,18176952.24
"河北宝硕股份有限公司",2013-12-31,71700010.1
"河北宝硕股份有限公司",2014-03-31,68203707.92
"河北宝硕股份有限公司",2014-06-30,176759769.71
"河北宝硕股份有限公司",2014-09-30,274592857.15
"河北宝硕股份有限公司",2014-12-31,409467286.82
"河北宝硕股份有限公司",2015-03-31,63167084.02
"河北宝硕股份有限公司",2015-06-30,163783725.7
"河北宝硕股份有限公司",2015-09-30,241043250.62
"河北宝硕股份有限公司",2015-12-31,348515807.77
"河北宝硕股份有限公司",2016-03-31,67756235.66
"河北宝硕股份有限公司",2016-06-30,155220454.22
"河北宝硕股份有限公司",2016-09-30,407677364.81
"河北宝硕股份有限公司",2016-12-31,1115196733.14
"河北宝硕股份有限公司",2017-03-31,433718959.9
"沧州明珠塑料股份有限公司",2010-03-31,212505947.08
"沧州明珠塑料股份有限公司",2010-06-30,534116550.25
"沧州明珠塑料股份有限公司",2010-09-30,915377503.29
"沧州明珠塑料股份有限公司",2010-12-31,1363083922.08
"沧州明珠塑料股份有限公司",2011-03-31,262354563.14
"沧州明珠塑料股份有限公司",2011-06-30,744797921.86
"沧州明珠塑料股份有限公司",2011-09-30,1234953537.68
"沧州明珠塑料股份有限公司",2011-12-31,1660217498.13
"沧州明珠塑料股份有限公司",2012-03-31,323945306.16
"沧州明珠塑料股份有限公司",2012-06-30,813517323.74
"沧州明珠塑料股份有限公司",2012-09-30,1319952629.69
"沧州明珠塑料股份有限公司",2012-12-31,1762387037.99
"沧州明珠塑料股份有限公司",2013-03-31,319673708.93
"沧州明珠塑料股份有限公司",2013-06-30,853469896.61
"沧州明珠塑料股份有限公司",2013-09-30,1394869124.6
"沧州明珠塑料股份有限公司",2013-12-31,1982982297.16
"沧州明珠塑料股份有限公司",2014-03-31,369382750.49
"沧州明珠塑料股份有限公司",2014-06-30,965522624.74
"沧州明珠塑料股份有限公司",2014-09-30,1554094527.08
"沧州明珠塑料股份有限公司",2014-12-31,2089958703.65
"沧州明珠塑料股份有限公司",2015-03-31,400968582.08
"沧州明珠塑料股份有限公司",2015-06-30,972780967.86
"沧州明珠塑料股份有限公司",2015-09-30,1578896002.34
"沧州明珠塑料股份有限公司",2015-12-31,2175258175.81
"沧州明珠塑料股份有限公司",2016-03-31,490420521.45
"沧州明珠塑料股份有限公司",2016-06-30,1215948903.46
"沧州明珠塑料股份有限公司",2016-09-30,1994380682.81
"沧州明珠塑料股份有限公司",2016-12-31,2764817544.7
"沧州明珠塑料股份有限公司",2017-03-31,698996159.25
"河北沧州东塑集团股份有限公司",2010-12-31,1662625266.83
"河北沧州东塑集团股份有限公司",2011-09-30,1415920833.85
"河北沧州东塑集团股份有限公司",2011-12-31,3058799269.66
"河北沧州东塑集团股份有限公司",2012-09-30,1484402484.87
"河北沧州东塑集团股份有限公司",2012-12-31,2244721474.42
"河北沧州东塑集团股份有限公司",2013-03-31,350880538.16
"河北沧州东塑集团股份有限公司",2013-06-30,924794228.61
"河北沧州东塑集团股份有限公司",2013-09-30,1490877324.43
"河北沧州东塑集团股份有限公司",2013-12-31,2823056578.2
"河北沧州东塑集团股份有限公司",2014-03-31,451498749.75
"河北沧州东塑集团股份有限公司",2014-09-30,1758681987.58
"河北沧州东塑集团股份有限公司",2014-12-31,2339861092.09
"河北沧州东塑集团股份有限公司",2015-03-31,464001991.51
"河北沧州东塑集团股份有限公司",2015-06-30,1077550221.45
"河北沧州东塑集团股份有限公司",2015-09-30,1719572086.34
"辽宁宏程塑料型材有限公司",2010-09-30,2938642237.35
"辽宁宏程塑料型材有限公司",2010-12-31,3885008099.26
"辽宁宏程塑料型材有限公司",2011-03-31,698810352.33
"辽宁宏程塑料型材有限公司",2011-06-30,1642978365.32
"辽宁宏程塑料型材有限公司",2011-09-30,2807161397.23
"辽宁宏程塑料型材有限公司",2011-12-31,3899673260.73
"辽宁宏程塑料型材有限公司",2012-03-31,706861203.56
"辽宁宏程塑料型材有限公司",2012-06-30,1700740797.44
"辽宁宏程塑料型材有限公司",2012-09-30,2888001939.87
"辽宁宏程塑料型材有限公司",2012-12-31,3922870028.52
"辽宁宏程塑料型材有限公司",2013-03-31,756953418.8
"辽宁宏程塑料型材有限公司",2013-06-30,1778556685.71
