"","corp_name","report_period","营业总收入"
"1430","山东山水水泥集团有限公司",2010-03-31,1479835176.01
"1431","山东山水水泥集团有限公司",2010-06-30,4688936184.45
"1432","山东山水水泥集团有限公司",2010-09-30,7875086253.95
"1433","山东山水水泥集团有限公司",2010-12-31,11818290660.21
"1434","山东山水水泥集团有限公司",2011-03-31,2573874841.64
"1435","山东山水水泥集团有限公司",2011-06-30,7640568773.58
"1436","山东山水水泥集团有限公司",2011-09-30,12884931682.66
"1437","山东山水水泥集团有限公司",2011-12-31,16650330813.3
"1438","山东山水水泥集团有限公司",2012-03-31,2115965176.54
"1439","山东山水水泥集团有限公司",2012-06-30,7316862997.2
"1440","山东山水水泥集团有限公司",2012-09-30,12229072454.72
"1441","山东山水水泥集团有限公司",2012-12-31,16115679307.96
"1442","山东山水水泥集团有限公司",2013-03-31,1936762042.03
"1443","山东山水水泥集团有限公司",2013-06-30,7066414155.13
"1444","山东山水水泥集团有限公司",2013-09-30,12490285628.63
"1445","山东山水水泥集团有限公司",2013-12-31,16355079880.28
"1446","山东山水水泥集团有限公司",2014-03-31,2228822689.46
"1447","山东山水水泥集团有限公司",2014-06-30,7256341958.42
"1448","山东山水水泥集团有限公司",2014-09-30,11983829917.19
"1449","山东山水水泥集团有限公司",2014-12-31,15439731107.37
"1450","山东山水水泥集团有限公司",2015-03-31,1407414460.07
"1451","山东山水水泥集团有限公司",2015-06-30,4990033211.87
"1452","山东山水水泥集团有限公司",2015-09-30,8560704045.31
"2268","中国建材股份有限公司",2010-12-31,52347919541.23
"2269","中国建材股份有限公司",2011-03-31,12456406895.87
"2270","中国建材股份有限公司",2011-06-30,34821316649.95
"2271","中国建材股份有限公司",2011-09-30,55968276844.38
"2272","中国建材股份有限公司",2011-12-31,80641719755.74
"2273","中国建材股份有限公司",2012-03-31,14388271844.13
"2274","中国建材股份有限公司",2012-06-30,38184582219.02
"2275","中国建材股份有限公司",2012-09-30,59827613754.11
"2276","中国建材股份有限公司",2012-12-31,88311388838.43
"2277","中国建材股份有限公司",2013-03-31,19797586149.53
"2278","中国建材股份有限公司",2013-06-30,51236072013.85
"2279","中国建材股份有限公司",2013-09-30,82166587951.11
"2280","中国建材股份有限公司",2013-12-31,119536175470.43
"2281","中国建材股份有限公司",2014-03-31,22125260299.51
"2282","中国建材股份有限公司",2014-06-30,56621908084.43
"2283","中国建材股份有限公司",2014-09-30,88482528252.01
"2284","中国建材股份有限公司",2014-12-31,123962373393.32
"2285","中国建材股份有限公司",2015-03-31,21100518492.27
"2286","中国建材股份有限公司",2015-06-30,49258001290.36
"2287","中国建材股份有限公司",2015-09-30,76954549239.6
"2288","中国建材股份有限公司",2015-12-31,102047141291.55
"2289","中国建材股份有限公司",2016-03-31,18983267452.89
"2290","中国建材股份有限公司",2016-06-30,44934315906.58
"2291","中国建材股份有限公司",2016-09-30,70322025848.15
"2292","中国建材股份有限公司",2016-12-31,103289384053.53
"2293","中国建材股份有限公司",2017-03-31,20867693481.16
