"corp_name","report_period","营业总收入"
"北京首航艾启威节能技术股份有限公司",2010-12-31,576196299.8
"北京首航艾启威节能技术股份有限公司",2011-09-30,370547487.91
"北京首航艾启威节能技术股份有限公司",2011-12-31,752056209.74
"北京首航艾启威节能技术股份有限公司",2012-03-31,691871.04
"北京首航艾启威节能技术股份有限公司",2012-06-30,392214417.03
"北京首航艾启威节能技术股份有限公司",2012-09-30,680707416.56
"北京首航艾启威节能技术股份有限公司",2012-12-31,1193145887.89
"北京首航艾启威节能技术股份有限公司",2013-03-31,69204782.01
"北京首航艾启威节能技术股份有限公司",2013-06-30,421708878.02
"北京首航艾启威节能技术股份有限公司",2013-09-30,688777980.59
"北京首航艾启威节能技术股份有限公司",2013-12-31,975650646.27
"北京首航艾启威节能技术股份有限公司",2014-03-31,8852414.04
"北京首航艾启威节能技术股份有限公司",2014-06-30,347860296.29
"北京首航艾启威节能技术股份有限公司",2014-09-30,628206254.51
"北京首航艾启威节能技术股份有限公司",2014-12-31,1116015058.57
"北京首航艾启威节能技术股份有限公司",2015-03-31,187863011.94
"北京首航艾启威节能技术股份有限公司",2015-06-30,430150860.96
"北京首航艾启威节能技术股份有限公司",2015-09-30,542897156.73
"北京首航艾启威节能技术股份有限公司",2015-12-31,1133777605.94
"北京首航艾启威节能技术股份有限公司",2016-03-31,138864815.94
"北京首航艾启威节能技术股份有限公司",2016-06-30,388691336.42
"北京首航艾启威节能技术股份有限公司",2016-09-30,639640882.35
"北京首航艾启威节能技术股份有限公司",2016-12-31,894964591.87
"北京首航艾启威节能技术股份有限公司",2017-03-31,36990698.02
"国家电投集团石家庄东方能源股份有限公司",2010-03-31,406563235.4
"国家电投集团石家庄东方能源股份有限公司",2010-06-30,575561534.92
"国家电投集团石家庄东方能源股份有限公司",2010-09-30,845415287.06
"国家电投集团石家庄东方能源股份有限公司",2010-12-31,1327332855.61
"国家电投集团石家庄东方能源股份有限公司",2011-03-31,367743353.02
"国家电投集团石家庄东方能源股份有限公司",2011-06-30,490021168.61
"国家电投集团石家庄东方能源股份有限公司",2011-09-30,630908823.81
"国家电投集团石家庄东方能源股份有限公司",2011-12-31,970001012.39
"国家电投集团石家庄东方能源股份有限公司",2012-03-31,352503619.13
"国家电投集团石家庄东方能源股份有限公司",2012-06-30,424391168.35
"国家电投集团石家庄东方能源股份有限公司",2012-09-30,581065381.79
"国家电投集团石家庄东方能源股份有限公司",2012-12-31,857412607.41
"国家电投集团石家庄东方能源股份有限公司",2013-03-31,343954032.51
"国家电投集团石家庄东方能源股份有限公司",2013-06-30,447086938.71
"国家电投集团石家庄东方能源股份有限公司",2013-09-30,532256539.89
"国家电投集团石家庄东方能源股份有限公司",2013-12-31,727775135.17
"国家电投集团石家庄东方能源股份有限公司",2014-03-31,264917693.59
"国家电投集团石家庄东方能源股份有限公司",2014-06-30,408194278.04
"国家电投集团石家庄东方能源股份有限公司",2014-09-30,568021464.47
"国家电投集团石家庄东方能源股份有限公司",2014-12-31,777743599.2
