"","corp_name","report_period","营业总收入"
"4118","凯盛科技集团公司",2012-12-31,3574524794.15
"4119","凯盛科技集团公司",2013-12-31,3582606050.9
"4120","凯盛科技集团公司",2014-12-31,3878957398.05
"4121","凯盛科技集团公司",2015-12-31,3579371704.42
"4122","凯盛科技集团公司",2016-03-31,1178677634.98
"4123","凯盛科技集团公司",2016-06-30,2659640911.72
"4124","凯盛科技集团公司",2016-09-30,4299863412.01
"4125","凯盛科技集团公司",2016-12-31,6819807108.13
"4126","凯盛科技集团公司",2017-03-31,1752846452.11
"29025","上海耀皮玻璃集团股份有限公司",2010-03-31,549507956.33
"29026","上海耀皮玻璃集团股份有限公司",2010-06-30,1159976637.13
"29027","上海耀皮玻璃集团股份有限公司",2010-09-30,1877966955.88
"29028","上海耀皮玻璃集团股份有限公司",2010-12-31,2685638607.41
"29029","上海耀皮玻璃集团股份有限公司",2011-03-31,632834949.44
"29030","上海耀皮玻璃集团股份有限公司",2011-06-30,1262432015.41
"29031","上海耀皮玻璃集团股份有限公司",2011-09-30,1868660477.23
"29032","上海耀皮玻璃集团股份有限公司",2011-12-31,2421100234.76
"29033","上海耀皮玻璃集团股份有限公司",2012-03-31,500105720.76
"29034","上海耀皮玻璃集团股份有限公司",2012-06-30,1109109880
"29035","上海耀皮玻璃集团股份有限公司",2012-09-30,1749187823.48
"29036","上海耀皮玻璃集团股份有限公司",2012-12-31,2307631891.19
"29037","上海耀皮玻璃集团股份有限公司",2013-03-31,517336750.82
"29038","上海耀皮玻璃集团股份有限公司",2013-06-30,1107077931.84
"29039","上海耀皮玻璃集团股份有限公司",2013-09-30,1725308047.43
"29040","上海耀皮玻璃集团股份有限公司",2013-12-31,2491103646.33
"29041","上海耀皮玻璃集团股份有限公司",2014-03-31,553031361.98
"29042","上海耀皮玻璃集团股份有限公司",2014-06-30,1198441509.23
"29043","上海耀皮玻璃集团股份有限公司",2014-09-30,2161966278.1
"29044","上海耀皮玻璃集团股份有限公司",2014-12-31,2864912952.36
"29045","上海耀皮玻璃集团股份有限公司",2015-03-31,571721286.62
"29046","上海耀皮玻璃集团股份有限公司",2015-06-30,1245220673.77
"29047","上海耀皮玻璃集团股份有限公司",2015-09-30,1979534781.43
"29048","上海耀皮玻璃集团股份有限公司",2015-12-31,2747743271.77
"29049","上海耀皮玻璃集团股份有限公司",2016-03-31,695967410.79
"29050","上海耀皮玻璃集团股份有限公司",2016-06-30,1394086146.89
"29051","上海耀皮玻璃集团股份有限公司",2016-09-30,2122099909.75
"29052","上海耀皮玻璃集团股份有限公司",2016-12-31,2943011023.88
"29053","上海耀皮玻璃集团股份有限公司",2017-03-31,719809072.91
"39472","常州亚玛顿股份有限公司",2010-12-31,595172530.06
"39473","常州亚玛顿股份有限公司",2011-06-30,264352707.11
"39474","常州亚玛顿股份有限公司",2011-09-30,440196850.11
"39475","常州亚玛顿股份有限公司",2011-12-31,578812058.81
"39476","常州亚玛顿股份有限公司",2012-03-31,143754485.61
"39477","常州亚玛顿股份有限公司",2012-06-30,358738759.75
"39478","常州亚玛顿股份有限公司",2012-09-30,499842958.71
"39479","常州亚玛顿股份有限公司",2012-12-31,608885987.78
"39480","常州亚玛顿股份有限公司",2013-03-31,102839429.98
"39481","常州亚玛顿股份有限公司",2013-06-30,265045009.56
"39482","常州亚玛顿股份有限公司",2013-09-30,461486391.1
"39483","常州亚玛顿股份有限公司",2013-12-31,701992180.41
"39484","常州亚玛顿股份有限公司",2014-03-31,200201133.8
"39485","常州亚玛顿股份有限公司",2014-06-30,400776549.33
"39486","常州亚玛顿股份有限公司",2014-09-30,607568073.8
"39487","常州亚玛顿股份有限公司",2014-12-31,862816285.32
"39488","常州亚玛顿股份有限公司",2015-03-31,212734900.38
"39489","常州亚玛顿股份有限公司",2015-06-30,472805596
"39490","常州亚玛顿股份有限公司",2015-09-30,801351997.02
"39491","常州亚玛顿股份有限公司",2015-12-31,1092134359.47
"39492","常州亚玛顿股份有限公司",2016-03-31,242149775.36
"39493","常州亚玛顿股份有限公司",2016-06-30,783197953.91
"39494","常州亚玛顿股份有限公司",2016-09-30,1115116656.07
"39495","常州亚玛顿股份有限公司",2016-12-31,1395846083.34
"39496","常州亚玛顿股份有限公司",2017-03-31,327035173.58
"41330","苏州华东镀膜玻璃有限公司",2010-12-31,241836001.34
"41331","苏州华东镀膜玻璃有限公司",2011-12-31,207088320.92
"58495","蚌埠玻璃工业设计研究院",2010-12-31,1469329518.3
"58496","蚌埠玻璃工业设计研究院",2011-12-31,2522552181.2
"58497","蚌埠玻璃工业设计研究院",2012-03-31,383729644.89
"58498","蚌埠玻璃工业设计研究院",2012-06-30,1108093493.09
"58499","蚌埠玻璃工业设计研究院",2012-09-30,1593191983.12
"58500","蚌埠玻璃工业设计研究院",2012-12-31,2603104970.88
"58501","蚌埠玻璃工业设计研究院",2013-03-31,465277845.56
"58502","蚌埠玻璃工业设计研究院",2013-06-30,1096757163.81
"58503","蚌埠玻璃工业设计研究院",2013-09-30,1683375503.19
"58504","蚌埠玻璃工业设计研究院",2013-12-31,2760491474.51
"58505","蚌埠玻璃工业设计研究院",2014-03-31,556939584.41
"58506","蚌埠玻璃工业设计研究院",2014-06-30,1230447644.42
"58507","蚌埠玻璃工业设计研究院",2014-09-30,1876248815.86
"58508","蚌埠玻璃工业设计研究院",2014-12-31,2850674465.27
"58509","蚌埠玻璃工业设计研究院",2015-03-31,665581224.16
"58510","蚌埠玻璃工业设计研究院",2015-06-30,1243231780.25
"58511","蚌埠玻璃工业设计研究院",2015-09-30,1859039847.33
"58512","蚌埠玻璃工业设计研究院",2015-12-31,2653323341.45
"58513","蚌埠玻璃工业设计研究院",2016-03-31,907370029.36
"58514","蚌埠玻璃工业设计研究院",2016-06-30,1975994430.71
"58515","蚌埠玻璃工业设计研究院",2016-09-30,3242632237.01
"58516","蚌埠玻璃工业设计研究院",2016-12-31,1426470647.67
"58517","蚌埠玻璃工业设计研究院",2017-03-31,326313863.63
"58518","凯盛科技股份有限公司",2010-03-31,159774373.15
"58519","凯盛科技股份有限公司",2010-06-30,327109662.58
"58520","凯盛科技股份有限公司",2010-09-30,467565531.65
"58521","凯盛科技股份有限公司",2010-12-31,611322910.1
"58522","凯盛科技股份有限公司",2011-03-31,147357322.01
"58523","凯盛科技股份有限公司",2011-06-30,597999270.2
"58524","凯盛科技股份有限公司",2011-09-30,597999270.2
"58525","凯盛科技股份有限公司",2011-12-31,1073678022.53
"58526","凯盛科技股份有限公司",2012-03-31,190561920.07
"58527","凯盛科技股份有限公司",2012-06-30,482603735.63
"58528","凯盛科技股份有限公司",2012-09-30,715189544.7
"58529","凯盛科技股份有限公司",2012-12-31,970920433.38
"58530","凯盛科技股份有限公司",2013-03-31,212514733.07
"58531","凯盛科技股份有限公司",2013-06-30,496845716.9
"58532","凯盛科技股份有限公司",2013-09-30,721832523.89
"58533","凯盛科技股份有限公司",2013-12-31,982627398.34
"58534","凯盛科技股份有限公司",2014-03-31,215363530.54
"58535","凯盛科技股份有限公司",2014-06-30,481493323.34
"58536","凯盛科技股份有限公司",2014-09-30,684521424.21
"58537","凯盛科技股份有限公司",2014-12-31,942198411.01
"58538","凯盛科技股份有限公司",2015-03-31,199837502.95
"58539","凯盛科技股份有限公司",2015-06-30,454909811.1
"58540","凯盛科技股份有限公司",2015-09-30,680897615.28
"58541","凯盛科技股份有限公司",2015-12-31,1129652717.24
"58542","凯盛科技股份有限公司",2016-03-31,488073861.05
"58543","凯盛科技股份有限公司",2016-06-30,1038383416.38
"58544","凯盛科技股份有限公司",2016-09-30,1988338488.21
"58545","凯盛科技股份有限公司",2016-12-31,3106645158.96
"58546","凯盛科技股份有限公司",2017-03-31,734308924.02
"63717","福建旗滨集团有限公司",2010-12-31,2224583625.86
"63718","福建旗滨集团有限公司",2011-12-31,2314988450.7
"63719","福建旗滨集团有限公司",2012-09-30,2216697564.65
"63720","福建旗滨集团有限公司",2012-12-31,3188913323.43
"63721","福建旗滨集团有限公司",2013-03-31,742033194.05
"63722","福建旗滨集团有限公司",2013-06-30,1915191072.82
"63723","福建旗滨集团有限公司",2013-09-30,3199014051.98
"63724","福建旗滨集团有限公司",2013-12-31,4750659465.13
"63725","福建旗滨集团有限公司",2014-03-31,1123985191.23
"63726","福建旗滨集团有限公司",2014-06-30,2539582251.75
"63727","福建旗滨集团有限公司",2014-09-30,3698974294.47
"63728","福建旗滨集团有限公司",2014-12-31,5197681474.08
"63729","福建旗滨集团有限公司",2015-03-31,1048034912.51
"63730","福建旗滨集团有限公司",2015-06-30,2359234247.49
"63731","福建旗滨集团有限公司",2015-09-30,3683753050.97
"63732","福建旗滨集团有限公司",2015-12-31,5262717772.8
"63733","福建旗滨集团有限公司",2016-03-31,1255921214.67
"63734","福建旗滨集团有限公司",2016-06-30,3089522257.63
"63735","福建旗滨集团有限公司",2016-09-30,4845075682.93
"63736","福建旗滨集团有限公司",2016-12-31,7235721444.4
"63737","福建旗滨集团有限公司",2017-03-31,1708491395.99
"66705","山东金晶科技股份有限公司",2010-03-31,702640157.18
"66706","山东金晶科技股份有限公司",2010-06-30,1422843476.31
"66707","山东金晶科技股份有限公司",2010-09-30,2249501190.81
"66708","山东金晶科技股份有限公司",2010-12-31,3146413034.51
"66709","山东金晶科技股份有限公司",2011-03-31,792902952.53
"66710","山东金晶科技股份有限公司",2011-06-30,1650921100.7
"66711","山东金晶科技股份有限公司",2011-09-30,2578771863.79
"66712","山东金晶科技股份有限公司",2011-12-31,3295508722.78
"66713","山东金晶科技股份有限公司",2012-03-31,693182053.99
"66714","山东金晶科技股份有限公司",2012-06-30,1420823614.25
"66715","山东金晶科技股份有限公司",2012-09-30,2178754374.33
"66716","山东金晶科技股份有限公司",2012-12-31,2986983265.05
"66717","山东金晶科技股份有限公司",2013-03-31,763441291.54
"66718","山东金晶科技股份有限公司",2013-06-30,1626739120.8
"66719","山东金晶科技股份有限公司",2013-09-30,2515452660.16
"66720","山东金晶科技股份有限公司",2013-12-31,3464443382.45
"66721","山东金晶科技股份有限公司",2014-03-31,772878183.72
"66722","山东金晶科技股份有限公司",2014-06-30,1671651860.95
"66723","山东金晶科技股份有限公司",2014-09-30,2565156335.32
"66724","山东金晶科技股份有限公司",2014-12-31,3581051677.33
"66725","山东金晶科技股份有限公司",2015-03-31,735372373.32
"66726","山东金晶科技股份有限公司",2015-06-30,1601031938.15
"66727","山东金晶科技股份有限公司",2015-09-30,2413454810.54
"66728","山东金晶科技股份有限公司",2015-12-31,3324688834.25
"66729","山东金晶科技股份有限公司",2016-03-31,804652819.8
"66730","山东金晶科技股份有限公司",2016-06-30,1611359023.92
"66731","山东金晶科技股份有限公司",2016-09-30,2436275283.19
"66732","山东金晶科技股份有限公司",2016-12-31,3357176506.65
"66733","山东金晶科技股份有限公司",2017-03-31,850316895.67
"71744","威海蓝星新技术玻璃有限公司",2010-12-31,301211190.7
"71745","威海蓝星新技术玻璃有限公司",2011-12-31,239397553.65
"71746","威海蓝星新技术玻璃有限公司",2012-09-30,170656364.81
"71747","威海蓝星新技术玻璃有限公司",2012-12-31,255703620.22
"71748","威海蓝星新技术玻璃有限公司",2013-12-31,274143015
"74071","河南裕华新材料股份有限公司",2010-12-31,301261976.17
"74072","河南裕华新材料股份有限公司",2011-06-30,162022155.6
"74073","河南裕华新材料股份有限公司",2013-12-31,411212589.92
"74074","河南裕华新材料股份有限公司",2014-12-31,409402533.52
"74643","洛阳玻璃股份有限公司",2010-03-31,216413944.29
"74644","洛阳玻璃股份有限公司",2010-06-30,500614540.56
"74645","洛阳玻璃股份有限公司",2010-09-30,782184304.7
"74646","洛阳玻璃股份有限公司",2010-12-31,1168481659.06
"74647","洛阳玻璃股份有限公司",2011-03-31,243952696.93
"74648","洛阳玻璃股份有限公司",2011-06-30,516776706.82
"74649","洛阳玻璃股份有限公司",2011-09-30,721753330.46
"74650","洛阳玻璃股份有限公司",2011-12-31,920942939.77
"74651","洛阳玻璃股份有限公司",2012-03-31,144169021.67
"74652","洛阳玻璃股份有限公司",2012-06-30,308206278.39
"74653","洛阳玻璃股份有限公司",2012-09-30,458622970.21
"74654","洛阳玻璃股份有限公司",2012-12-31,553687171.35
"74655","洛阳玻璃股份有限公司",2013-03-31,64450159.03
"74656","洛阳玻璃股份有限公司",2013-06-30,133317678.23
"74657","洛阳玻璃股份有限公司",2013-09-30,219854060.74
"74658","洛阳玻璃股份有限公司",2013-12-31,375735014.43
"74659","洛阳玻璃股份有限公司",2014-03-31,126378728.92
"74660","洛阳玻璃股份有限公司",2014-06-30,265633853.92
"74661","洛阳玻璃股份有限公司",2014-09-30,432785559.45
"74662","洛阳玻璃股份有限公司",2014-12-31,612541199.49
"74663","洛阳玻璃股份有限公司",2015-03-31,122412046.29
"74664","洛阳玻璃股份有限公司",2015-06-30,307311207.69
"74665","洛阳玻璃股份有限公司",2015-09-30,402539580.92
"74666","洛阳玻璃股份有限公司",2015-12-31,662156635.13
"74667","洛阳玻璃股份有限公司",2016-03-31,69231357.1
"74668","洛阳玻璃股份有限公司",2016-06-30,137239714.63
"74669","洛阳玻璃股份有限公司",2016-09-30,209125577.79
"74670","洛阳玻璃股份有限公司",2016-12-31,392095626.14
"74671","洛阳玻璃股份有限公司",2017-03-31,76356597.31
"80788","株洲旗滨集团股份有限公司",2010-12-31,1905030825.13
"80789","株洲旗滨集团股份有限公司",2011-06-30,939885014.82
"80790","株洲旗滨集团股份有限公司",2011-09-30,1425889320.87
"80791","株洲旗滨集团股份有限公司",2011-12-31,2035818327.97
"80792","株洲旗滨集团股份有限公司",2012-03-31,534776708.62
"80793","株洲旗滨集团股份有限公司",2012-06-30,1048691695.91
"80794","株洲旗滨集团股份有限公司",2012-09-30,1768851049.31
"80795","株洲旗滨集团股份有限公司",2012-12-31,2684535646.4
"80796","株洲旗滨集团股份有限公司",2013-03-31,723503004.44
"80797","株洲旗滨集团股份有限公司",2013-06-30,1637719442.48
"80798","株洲旗滨集团股份有限公司",2013-09-30,2517502186.77
"80799","株洲旗滨集团股份有限公司",2013-12-31,3525953681.64
