"corp_name","report_period","营业总收入"
"北京顺鑫农业股份有限公司",2010-03-31,1970619216.62
"北京顺鑫农业股份有限公司",2010-06-30,3416517863.56
"北京顺鑫农业股份有限公司",2010-09-30,4896833111.31
"北京顺鑫农业股份有限公司",2010-12-31,6268401059.55
"北京顺鑫农业股份有限公司",2011-03-31,2002213216.26
"北京顺鑫农业股份有限公司",2011-06-30,3698620293.75
"北京顺鑫农业股份有限公司",2011-09-30,5606763762.66
"北京顺鑫农业股份有限公司",2011-12-31,7580206465.16
"北京顺鑫农业股份有限公司",2012-03-31,2487491460.94
"北京顺鑫农业股份有限公司",2012-06-30,4541073914.91
"北京顺鑫农业股份有限公司",2012-09-30,6392674603.57
"北京顺鑫农业股份有限公司",2012-12-31,8341954741.39
"北京顺鑫农业股份有限公司",2013-03-31,2599894163.82
"北京顺鑫农业股份有限公司",2013-06-30,4788040197.54
"北京顺鑫农业股份有限公司",2013-09-30,6560563104.36
"北京顺鑫农业股份有限公司",2013-12-31,9072355382.26
"北京顺鑫农业股份有限公司",2014-03-31,3206482196.3
"北京顺鑫农业股份有限公司",2014-06-30,5801557254.22
"北京顺鑫农业股份有限公司",2014-09-30,7142063619.62
"北京顺鑫农业股份有限公司",2014-12-31,9480664077.56
"北京顺鑫农业股份有限公司",2015-03-31,3234360076.67
"北京顺鑫农业股份有限公司",2015-06-30,5744529495.43
"北京顺鑫农业股份有限公司",2015-09-30,7531461867.17
"北京顺鑫农业股份有限公司",2015-12-31,9637423354.44
"北京顺鑫农业股份有限公司",2016-03-31,3633694156.43
"北京顺鑫农业股份有限公司",2016-06-30,6267691852.63
"北京顺鑫农业股份有限公司",2016-09-30,8779576324.84
"北京顺鑫农业股份有限公司",2016-12-31,11197229070.59
"北京顺鑫农业股份有限公司",2017-03-31,3843313242.97
"河北衡水老白干酒业股份有限公司",2010-03-31,248276216.92
"河北衡水老白干酒业股份有限公司",2010-06-30,492944632.92
"河北衡水老白干酒业股份有限公司",2010-09-30,809743939.02
"河北衡水老白干酒业股份有限公司",2010-12-31,1166056157.57
"河北衡水老白干酒业股份有限公司",2011-03-31,395028848.26
"河北衡水老白干酒业股份有限公司",2011-06-30,608198328.75
"河北衡水老白干酒业股份有限公司",2011-09-30,981652527.45
"河北衡水老白干酒业股份有限公司",2011-12-31,1413694770.14
"河北衡水老白干酒业股份有限公司",2012-03-31,364045523.29
"河北衡水老白干酒业股份有限公司",2012-06-30,728007210.57
"河北衡水老白干酒业股份有限公司",2012-09-30,1215951318.7
"河北衡水老白干酒业股份有限公司",2012-12-31,1666270390.68
"河北衡水老白干酒业股份有限公司",2013-03-31,479402886.43
"河北衡水老白干酒业股份有限公司",2013-06-30,805991885.85
"河北衡水老白干酒业股份有限公司",2013-09-30,1211570316.82
"河北衡水老白干酒业股份有限公司",2013-12-31,1802703972.76
"河北衡水老白干酒业股份有限公司",2014-03-31,445741493.8
"河北衡水老白干酒业股份有限公司",2014-06-30,664923300.71
"河北衡水老白干酒业股份有限公司",2014-09-30,1238083992.01
"河北衡水老白干酒业股份有限公司",2014-12-31,2109156606.01
"河北衡水老白干酒业股份有限公司",2015-03-31,612975193.29
"河北衡水老白干酒业股份有限公司",2015-06-30,914693843.83
"河北衡水老白干酒业股份有限公司",2015-09-30,1520159462.74
"河北衡水老白干酒业股份有限公司",2015-12-31,2335805290.45
"河北衡水老白干酒业股份有限公司",2016-03-31,677020820.61
"河北衡水老白干酒业股份有限公司",2016-06-30,1042928447.48
"河北衡水老白干酒业股份有限公司",2016-09-30,1655704246.64
"河北衡水老白干酒业股份有限公司",2016-12-31,2438332546.52
"河北衡水老白干酒业股份有限公司",2017-03-31,694976438.69
"山西杏花村汾酒厂股份有限公司",2010-03-31,1032526652.57
"山西杏花村汾酒厂股份有限公司",2010-06-30,1609207594.98
"山西杏花村汾酒厂股份有限公司",2010-09-30,2392606141.49
"山西杏花村汾酒厂股份有限公司",2010-12-31,3016625047.55
"山西杏花村汾酒厂股份有限公司",2011-03-31,1872396238.86
"山西杏花村汾酒厂股份有限公司",2011-06-30,2894818754.24
"山西杏花村汾酒厂股份有限公司",2011-09-30,3563657263.06
"山西杏花村汾酒厂股份有限公司",2011-12-31,4488148103.84
"山西杏花村汾酒厂股份有限公司",2012-03-31,2214014117.78
"山西杏花村汾酒厂股份有限公司",2012-06-30,3815652139.95
"山西杏花村汾酒厂股份有限公司",2012-09-30,5250978371.48
"山西杏花村汾酒厂股份有限公司",2012-12-31,6478763909.72
"山西杏花村汾酒厂股份有限公司",2013-03-31,2795167569.33
"山西杏花村汾酒厂股份有限公司",2013-06-30,4064597603.5
"山西杏花村汾酒厂股份有限公司",2013-09-30,5305009038.84
"山西杏花村汾酒厂股份有限公司",2013-12-31,6087199948.02
"山西杏花村汾酒厂股份有限公司",2014-03-31,1557415685.84
"山西杏花村汾酒厂股份有限公司",2014-06-30,2299769957.83
"山西杏花村汾酒厂股份有限公司",2014-09-30,3009497031.55
"山西杏花村汾酒厂股份有限公司",2014-12-31,3916067368.51
"山西杏花村汾酒厂股份有限公司",2015-03-31,1435576590.33
"山西杏花村汾酒厂股份有限公司",2015-06-30,2245790434.92
"山西杏花村汾酒厂股份有限公司",2015-09-30,3075580128.86
"山西杏花村汾酒厂股份有限公司",2015-12-31,4128558454.69
"山西杏花村汾酒厂股份有限公司",2016-03-31,1470742089.8
"山西杏花村汾酒厂股份有限公司",2016-06-30,2423189058.88
"山西杏花村汾酒厂股份有限公司",2016-09-30,3400593440.79
"山西杏花村汾酒厂股份有限公司",2016-12-31,4404948311.55
"山西杏花村汾酒厂股份有限公司",2017-03-31,2180892582.12
"江苏洋河酒厂股份有限公司",2010-03-31,1933433793.76
"江苏洋河酒厂股份有限公司",2010-06-30,3487100334.32
"江苏洋河酒厂股份有限公司",2010-09-30,5554300159.79
"江苏洋河酒厂股份有限公司",2010-12-31,7619092696.22
"江苏洋河酒厂股份有限公司",2011-03-31,3633800730.28
"江苏洋河酒厂股份有限公司",2011-06-30,6171743874.03
"江苏洋河酒厂股份有限公司",2011-09-30,9697320356.4
"江苏洋河酒厂股份有限公司",2011-12-31,12740921687.6
"江苏洋河酒厂股份有限公司",2012-03-31,5961705523.68
"江苏洋河酒厂股份有限公司",2012-06-30,9309772422.09
"江苏洋河酒厂股份有限公司",2012-09-30,13996989330.97
"江苏洋河酒厂股份有限公司",2012-12-31,17270481272.53
"江苏洋河酒厂股份有限公司",2013-03-31,6322817289.74
"江苏洋河酒厂股份有限公司",2013-06-30,9410318067.08
"江苏洋河酒厂股份有限公司",2013-09-30,13053173028.81
"江苏洋河酒厂股份有限公司",2013-12-31,15023624944.56
"江苏洋河酒厂股份有限公司",2014-03-31,5669736627.54
"江苏洋河酒厂股份有限公司",2014-06-30,8653096950.3
"江苏洋河酒厂股份有限公司",2014-09-30,12305346980.52
"江苏洋河酒厂股份有限公司",2014-12-31,14672214730.18
"江苏洋河酒厂股份有限公司",2015-03-31,6259682602.64
"江苏洋河酒厂股份有限公司",2015-06-30,9571451211.53
"江苏洋河酒厂股份有限公司",2015-09-30,13661026388.95
"江苏洋河酒厂股份有限公司",2015-12-31,16052444099.28
"江苏洋河酒厂股份有限公司",2016-03-31,6843010210.81
"江苏洋河酒厂股份有限公司",2016-06-30,10193599291.72
"江苏洋河酒厂股份有限公司",2016-09-30,14667079390.71
"江苏洋河酒厂股份有限公司",2016-12-31,17183109620.08
"江苏洋河酒厂股份有限公司",2017-03-31,7588577705.68
"江苏今世缘酒业股份有限公司",2011-12-31,2242337828.2
"江苏今世缘酒业股份有限公司",2012-12-31,2593756842.88
"江苏今世缘酒业股份有限公司",2013-12-31,2515421678.4
"江苏今世缘酒业股份有限公司",2014-03-31,860587900
"江苏今世缘酒业股份有限公司",2014-06-30,1412513110.17
"江苏今世缘酒业股份有限公司",2014-09-30,1921039832.16
"江苏今世缘酒业股份有限公司",2014-12-31,2399737800.76
"江苏今世缘酒业股份有限公司",2015-03-31,873675369.81
"江苏今世缘酒业股份有限公司",2015-06-30,1442596682.22
"江苏今世缘酒业股份有限公司",2015-09-30,1911755956.95
"江苏今世缘酒业股份有限公司",2015-12-31,2424919303.12
"江苏今世缘酒业股份有限公司",2016-03-31,941380143.62
"江苏今世缘酒业股份有限公司",2016-06-30,1538480351.27
"江苏今世缘酒业股份有限公司",2016-09-30,2060363983.21
"江苏今世缘酒业股份有限公司",2016-12-31,2554378047.06
"江苏今世缘酒业股份有限公司",2017-03-31,1136596811.19
"安徽古井贡酒股份有限公司",2010-03-31,566478312.99
"安徽古井贡酒股份有限公司",2010-06-30,856347372.96
"安徽古井贡酒股份有限公司",2010-09-30,1245535379.9
"安徽古井贡酒股份有限公司",2010-12-31,1879155480.31
"安徽古井贡酒股份有限公司",2011-03-31,941428281.84
"安徽古井贡酒股份有限公司",2011-06-30,1583297669.82
"安徽古井贡酒股份有限公司",2011-09-30,2236809095.28
"安徽古井贡酒股份有限公司",2011-12-31,3307979236
"安徽古井贡酒股份有限公司",2012-03-31,1318602541.17
"安徽古井贡酒股份有限公司",2012-06-30,2227809202.69
"安徽古井贡酒股份有限公司",2012-09-30,3258492585.56
"安徽古井贡酒股份有限公司",2012-12-31,4197057315.26
"安徽古井贡酒股份有限公司",2013-03-31,1565277372.69
"安徽古井贡酒股份有限公司",2013-06-30,2306954677.39
"安徽古井贡酒股份有限公司",2013-09-30,3353111813.37
"安徽古井贡酒股份有限公司",2013-12-31,4580575654.71
"安徽古井贡酒股份有限公司",2014-03-31,1487912219.94
"安徽古井贡酒股份有限公司",2014-06-30,2390158949.76
"安徽古井贡酒股份有限公司",2014-09-30,3528653671.61
"安徽古井贡酒股份有限公司",2014-12-31,4650855881.72
