"corp_name","report_period","营业总收入"
"中国石油化工股份有限公司",2010-03-31,4.38209e+11
"中国石油化工股份有限公司",2010-06-30,9.36523e+11
"中国石油化工股份有限公司",2010-09-30,1.427622e+12
"中国石油化工股份有限公司",2010-12-31,1.913182e+12
"中国石油化工股份有限公司",2011-03-31,5.88842e+11
"中国石油化工股份有限公司",2011-06-30,1.233272e+12
"中国石油化工股份有限公司",2011-09-30,1.875102e+12
"中国石油化工股份有限公司",2011-12-31,2.505683e+12
"中国石油化工股份有限公司",2012-03-31,6.71365e+11
"中国石油化工股份有限公司",2012-06-30,1.348072e+12
"中国石油化工股份有限公司",2012-09-30,2.024766e+12
"中国石油化工股份有限公司",2012-12-31,2.786045e+12
"中国石油化工股份有限公司",2013-03-31,6.95571e+11
"中国石油化工股份有限公司",2013-06-30,1.415244e+12
"中国石油化工股份有限公司",2013-09-30,2.139924e+12
"中国石油化工股份有限公司",2013-12-31,2.880311e+12
"中国石油化工股份有限公司",2014-03-31,6.41065e+11
"中国石油化工股份有限公司",2014-06-30,1.356172e+12
"中国石油化工股份有限公司",2014-09-30,2.115648e+12
"中国石油化工股份有限公司",2014-12-31,2.825914e+12
"中国石油化工股份有限公司",2015-03-31,4.78241e+11
"中国石油化工股份有限公司",2015-06-30,1.040362e+12
"中国石油化工股份有限公司",2015-09-30,1.536837e+12
"中国石油化工股份有限公司",2015-12-31,2.018883e+12
"中国石油化工股份有限公司",2016-03-31,4.1379e+11
"中国石油化工股份有限公司",2016-06-30,8.7922e+11
"中国石油化工股份有限公司",2016-09-30,1.363945e+12
"中国石油化工股份有限公司",2016-12-31,1.930911e+12
"中国石油化工股份有限公司",2017-03-31,5.82185e+11
"北京清研利华石油化学技术有限公司",2010-12-31,30038050.01
"北京清研利华石油化学技术有限公司",2011-12-31,55623397.37
"山西阳光焦化集团股份有限公司",2010-12-31,4734962494.57
"山西阳光焦化集团股份有限公司",2011-09-30,4084929963.23
"山西阳光焦化集团股份有限公司",2011-12-31,5757544611.54
"山西阳光焦化集团股份有限公司",2012-03-31,1287565083.77
"山西阳光焦化集团股份有限公司",2012-06-30,3450916019.84
"山西阳光焦化集团股份有限公司",2012-09-30,4355619851.65
"山西阳光焦化集团股份有限公司",2012-12-31,5699597270.24
"山西阳光焦化集团股份有限公司",2013-03-31,1634082282.54
"山西阳光焦化集团股份有限公司",2013-06-30,2873991499.46
"山西阳光焦化集团股份有限公司",2013-09-30,4354318160.05
"山西阳光焦化集团股份有限公司",2013-12-31,6165077976.6
"山西阳光焦化集团股份有限公司",2014-03-31,1551230257.11
"山西阳光焦化集团股份有限公司",2014-06-30,3047294288.91
"山西阳光焦化集团股份有限公司",2014-09-30,4449655237.4
"沈阳化工股份有限公司",2010-03-31,1725293027.51
"沈阳化工股份有限公司",2010-06-30,3760226141.58
"沈阳化工股份有限公司",2010-09-30,5429107572.5
"沈阳化工股份有限公司",2010-12-31,7484080187.37
"沈阳化工股份有限公司",2011-03-31,2549771426.51
"沈阳化工股份有限公司",2011-06-30,5446361767.13
"沈阳化工股份有限公司",2011-09-30,7799031328.35
"沈阳化工股份有限公司",2011-12-31,10092193621.18
"沈阳化工股份有限公司",2012-03-31,2692513424.51
"沈阳化工股份有限公司",2012-06-30,5035441348.32
"沈阳化工股份有限公司",2012-09-30,7522074803.18
"沈阳化工股份有限公司",2012-12-31,10260651928.18
"沈阳化工股份有限公司",2013-03-31,1983907686.76
"沈阳化工股份有限公司",2013-06-30,4544943860.94
"沈阳化工股份有限公司",2013-09-30,6604285191.54
"沈阳化工股份有限公司",2013-12-31,10531130769.19
"沈阳化工股份有限公司",2014-03-31,2482131803.35
"沈阳化工股份有限公司",2014-06-30,5166543848.86
"沈阳化工股份有限公司",2014-09-30,7501180413.43
"沈阳化工股份有限公司",2014-12-31,10534393388.52
"沈阳化工股份有限公司",2015-03-31,1212428066.2
"沈阳化工股份有限公司",2015-06-30,3511681100.58
"沈阳化工股份有限公司",2015-09-30,7003122950.33
"沈阳化工股份有限公司",2015-12-31,9663900539.07
"沈阳化工股份有限公司",2016-03-31,1993397559.6
"沈阳化工股份有限公司",2016-06-30,3654524012.26
"沈阳化工股份有限公司",2016-09-30,6088460098.51
"沈阳化工股份有限公司",2016-12-31,8846765462.19
"沈阳化工股份有限公司",2017-03-31,3185694080.78
"大连西太平洋石油化工有限公司",2013-12-31,3.4839e+10
"大连西太平洋石油化工有限公司",2014-12-31,3.8983e+10
"大连西太平洋石油化工有限公司",2015-12-31,1.817e+10
"大连西太平洋石油化工有限公司",2016-06-30,8.524e+09
"大连西太平洋石油化工有限公司",2016-12-31,0
"同益实业集团有限公司",2012-12-31,7990616678.36
"同益实业集团有限公司",2013-12-31,8179320788.95
"同益实业集团有限公司",2014-12-31,10550608404.13
"同益实业集团有限公司",2015-09-30,7138018206.64
"同益实业集团有限公司",2015-12-31,10572243940.15
"同益实业集团有限公司",2016-06-30,5809462851.19
"同益实业集团有限公司",2016-12-31,11664347253.67
"北方华锦化学工业股份有限公司",2010-03-31,3376055419.98
"北方华锦化学工业股份有限公司",2010-06-30,10309097041.51
"北方华锦化学工业股份有限公司",2010-09-30,15305662684.24
"北方华锦化学工业股份有限公司",2010-12-31,23927330309.23
"北方华锦化学工业股份有限公司",2011-03-31,8827201915.77
"北方华锦化学工业股份有限公司",2011-06-30,17975388629.11
"北方华锦化学工业股份有限公司",2011-09-30,27747948840.26
"北方华锦化学工业股份有限公司",2011-12-31,37557034131.85
"北方华锦化学工业股份有限公司",2012-03-31,9734430972.21
"北方华锦化学工业股份有限公司",2012-06-30,18725360311.01
