"","corp_name","report_period","营业总收入"
"3430","首钢集团有限公司",2010-03-31 00:00:00,37687736733.62
"3431","首钢集团有限公司",2010-06-30 00:00:00,87968093864.67
"3432","首钢集团有限公司",2010-09-30 00:00:00,137281230870.24
"3433","首钢集团有限公司",2010-12-31 00:00:00,197534463505.8
"3434","首钢集团有限公司",2011-03-31 00:00:00,44778561577.98
"3435","首钢集团有限公司",2011-06-30 00:00:00,98693658487.76
"3436","首钢集团有限公司",2011-09-30 00:00:00,150744162383.85
"3437","首钢集团有限公司",2011-12-31 00:00:00,233497834215.73
"3438","首钢集团有限公司",2012-03-31 00:00:00,47715751053.35
"3439","首钢集团有限公司",2012-06-30 00:00:00,104561285761.67
"3440","首钢集团有限公司",2012-09-30 00:00:00,156204077913.4
"3441","首钢集团有限公司",2012-12-31 00:00:00,216595887636.44
"3442","首钢集团有限公司",2013-03-31 00:00:00,52342815841.88
"3443","首钢集团有限公司",2013-06-30 00:00:00,104031195684.99
"3444","首钢集团有限公司",2013-09-30 00:00:00,155465188202.82
"3445","首钢集团有限公司",2013-12-31 00:00:00,210842647745.79
"3446","首钢集团有限公司",2014-03-31 00:00:00,47911763913.24
"3447","首钢集团有限公司",2014-06-30 00:00:00,93185084494.72
"3448","首钢集团有限公司",2014-09-30 00:00:00,137606717612.45
"3449","首钢集团有限公司",2014-12-31 00:00:00,182803916945.21
"3450","首钢集团有限公司",2015-03-31 00:00:00,34252337008.93
"3451","首钢集团有限公司",2015-06-30 00:00:00,68948964000.77
"3452","首钢集团有限公司",2015-09-30 00:00:00,102523829211.2
"3453","首钢集团有限公司",2015-12-31 00:00:00,135200627016.36
"3454","首钢集团有限公司",2016-03-31 00:00:00,30172953627.69
"3455","首钢集团有限公司",2016-06-30 00:00:00,61510856478.22
"3456","首钢集团有限公司",2016-09-30 00:00:00,95527720815.16
"3457","首钢集团有限公司",2016-12-31 00:00:00,134870986975.62
"3458","首钢集团有限公司",2017-03-31 00:00:00,41914688743.89
"7392","北京首钢股份有限公司",2010-03-31 00:00:00,6604820769.59
"7393","北京首钢股份有限公司",2010-06-30 00:00:00,14263223793.44
"7394","北京首钢股份有限公司",2010-09-30 00:00:00,21439558674.48
"7395","北京首钢股份有限公司",2010-12-31 00:00:00,27905980881.22
"7396","北京首钢股份有限公司",2011-03-31 00:00:00,3562952851.49
"7397","北京首钢股份有限公司",2011-06-30 00:00:00,6509050621.79
"7398","北京首钢股份有限公司",2011-09-30 00:00:00,9502575535.22
"7399","北京首钢股份有限公司",2011-12-31 00:00:00,12516486236.78
"7400","北京首钢股份有限公司",2012-03-31 00:00:00,2921555123.68
"7401","北京首钢股份有限公司",2012-06-30 00:00:00,5604852073.52
"7402","北京首钢股份有限公司",2012-09-30 00:00:00,7871590700.95
