"corp_name","report_period","营业总收入"
"银邦金属复合材料股份有限公司",2010-12-31,1234667558.41
"银邦金属复合材料股份有限公司",2011-09-30,1115323845.91
"银邦金属复合材料股份有限公司",2011-12-31,1539316920.3
"银邦金属复合材料股份有限公司",2012-06-30,738630354.19
"银邦金属复合材料股份有限公司",2012-09-30,1097840378.58
"银邦金属复合材料股份有限公司",2012-12-31,1407250314.45
"银邦金属复合材料股份有限公司",2013-03-31,353799745.1
"银邦金属复合材料股份有限公司",2013-06-30,813621858.63
"银邦金属复合材料股份有限公司",2013-09-30,1176976543.72
"银邦金属复合材料股份有限公司",2013-12-31,1570158558.99
"银邦金属复合材料股份有限公司",2014-03-31,338325855.94
"银邦金属复合材料股份有限公司",2014-06-30,689602559.03
"银邦金属复合材料股份有限公司",2014-09-30,1059075390.47
"银邦金属复合材料股份有限公司",2014-12-31,1428709345.1
"银邦金属复合材料股份有限公司",2015-03-31,352169318.95
"银邦金属复合材料股份有限公司",2015-06-30,721006526.1
"银邦金属复合材料股份有限公司",2015-09-30,1033549823.9
"银邦金属复合材料股份有限公司",2015-12-31,1360709045.7
"银邦金属复合材料股份有限公司",2016-03-31,359125930.13
"银邦金属复合材料股份有限公司",2016-06-30,765188100.07
"银邦金属复合材料股份有限公司",2016-09-30,1126229141.42
"银邦金属复合材料股份有限公司",2016-12-31,1564897745.37
"银邦金属复合材料股份有限公司",2017-03-31,430350785.41
"江苏亚太轻合金科技股份有限公司",2010-06-30,591799674
"江苏亚太轻合金科技股份有限公司",2010-09-30,847103340.52
"江苏亚太轻合金科技股份有限公司",2010-12-31,1136349043.56
"江苏亚太轻合金科技股份有限公司",2011-03-31,303657197.97
"江苏亚太轻合金科技股份有限公司",2011-06-30,646167884.68
"江苏亚太轻合金科技股份有限公司",2011-09-30,958828746.35
"江苏亚太轻合金科技股份有限公司",2011-12-31,1299312761.06
"江苏亚太轻合金科技股份有限公司",2012-03-31,376676576.21
"江苏亚太轻合金科技股份有限公司",2012-06-30,831161971.53
