指标名称,产量:白酒:当月值,产量:啤酒:当月值,产量:葡萄酒:当月值,产量:碳酸饮料:当月值,价格:白酒:飞天茅台(53度):500ml:京东,价格:白酒:五粮液(52度):500ml:京东,价格:白酒:泸州老窖(52度):500ml:京东,价格:啤酒:百威:330ml:一号店,价格:红酒:张裕干红(赤霞珠):750ml:一号店,进口数量:葡萄酒:当月值,进口金额:葡萄酒:当月值,36大中城市日用工业消费品平均价格:白酒:500ml左右52度高档,36大中城市日用工业消费品平均价格:白酒:500ml左右52度中低档,白酒(折65度):销量:累计值,白酒(折65度):库存比年初增长
2010-01-31,74.57 ,259.84 ,7.15 ,119.83 ,,,,,,25292.00 ,9976.80 ,,,,
2010-02-28,64.78 ,250.65 ,7.18 ,84.48 ,,,,,,14671.00 ,6458.00 ,,,,
2010-03-31,68.83 ,336.95 ,8.08 ,87.33 ,,,,,,18511.00 ,7751.70 ,,,207.90 ,-2.20 
2010-04-30,61.90 ,356.72 ,7.51 ,78.04 ,,,,,,23749.00 ,8368.70 ,,,,
2010-05-31,67.14 ,422.68 ,9.03 ,91.73 ,,,,,,19396.00 ,8933.20 ,,,,
2010-06-30,73.70 ,496.50 ,10.12 ,119.82 ,,,,,,27359.00 ,11488.60 ,,,408.40 ,0.20 
2010-07-31,56.29 ,557.43 ,6.66 ,127.77 ,,,,,,28850.00 ,10815.20 ,,,,
2010-08-31,61.55 ,540.91 ,7.28 ,134.32 ,,,,,,29548.00 ,12496.90 ,,,,
2010-09-30,78.82 ,459.54 ,9.46 ,149.78 ,,,,,,29107.00 ,12853.70 ,,,597.90 ,8.30 
2010-10-31,82.27 ,320.35 ,12.16 ,91.88 ,,,,,,20451.00 ,9946.80 ,,,,
2010-11-30,96.61 ,266.57 ,10.90 ,75.75 ,,,,,,28122.00 ,14507.60 ,,,,
2010-12-31,100.77 ,242.33 ,12.80 ,119.41 ,,,,,,39974.00 ,19883.20 ,,,873.30 ,12.60 
2011-01-31,82.55 ,292.41 ,9.44 ,143.06 ,,,,,,50669.00 ,23423.10 ,,,,
2011-02-28,67.09 ,263.18 ,7.60 ,83.98 ,,,,,,13139.00 ,7359.40 ,,,,
2011-03-31,83.74 ,362.97 ,9.34 ,97.85 ,,,,,,25129.00 ,12692.30 ,,,237.30 ,-4.40 
2011-04-30,73.08 ,390.84 ,7.02 ,107.83 ,,,,,,29394.00 ,13389.10 ,,,,
2011-05-31,80.62 ,475.12 ,8.09 ,131.72 ,,,,,,31135.00 ,15745.80 ,,,,
2011-06-30,91.76 ,553.88 ,10.04 ,180.72 ,,,,,,32118.00 ,17381.00 ,,,471.90 ,6.50 
2011-07-31,69.66 ,580.40 ,8.43 ,172.27 ,,,,,,37695.00 ,17333.60 ,,,,
2011-08-31,71.37 ,562.80 ,9.14 ,167.80 ,,,,,,30041.00 ,21137.50 ,,,,
2011-09-30,94.66 ,461.31 ,9.97 ,163.02 ,,,,,,35704.00 ,20703.10 ,,,689.00 ,12.40 
2011-10-31,100.18 ,341.22 ,10.60 ,95.25 ,,,,,,26086.00 ,17352.80 ,,,,
2011-11-30,105.62 ,310.84 ,13.14 ,97.22 ,,,,,,37269.00 ,26292.60 ,,,,
2011-12-31,121.34 ,297.27 ,12.09 ,146.60 ,,,,,,42595.00 ,25128.80 ,,,1021.80 ,16.60 
2012-01-31,94.80 ,277.99 ,9.67 ,95.98 ,,,,,,32352.00 ,20338.60 ,,,,
2012-02-29,105.48 ,281.87 ,9.08 ,84.23 ,,,,,,31196.00 ,19315.80 ,,,,
2012-03-31,91.96 ,334.09 ,8.17 ,96.42 ,,,,,,34808.00 ,17093.10 ,,,286.20 ,5.60 
2012-04-30,80.74 ,416.61 ,7.91 ,100.31 ,,,,,,29990.00 ,14770.40 ,,,,
2012-05-31,85.02 ,516.60 ,11.16 ,121.17 ,,,,,,34540.00 ,18761.00 ,,,,
2012-06-30,101.64 ,548.80 ,13.67 ,149.10 ,,,,,,40044.00 ,21079.30 ,,,528.10 ,8.30 
2012-07-31,82.43 ,569.12 ,11.12 ,138.01 ,,,,,,37730.00 ,22338.70 ,,,,
2012-08-31,82.37 ,580.03 ,12.67 ,143.00 ,,,,,,43680.00 ,24840.70 ,,,,
2012-09-30,111.05 ,455.07 ,11.79 ,144.56 ,,,,,,43542.00 ,25299.20 ,,,794.50 ,2.90 
2012-10-31,106.20 ,340.61 ,12.62 ,81.27 ,,,,,,28426.00 ,21759.10 ,,,,
2012-11-30,115.09 ,288.95 ,13.48 ,77.97 ,,,,,,30736.00 ,23351.50 ,,,,
2012-12-31,128.37 ,275.37 ,17.46 ,116.29 ,,,,,,38203.00 ,28323.40 ,,,1126.70 ,20.10 
