指标名称,申万行业指数:白酒,白酒(折65度):产量:累计值,申万行业指数:啤酒,Wind行业指数:啤酒
2010-01-04,9007.35 ,,2620.94 ,2980.02 
2010-01-05,9023.49 ,,2621.76 ,2980.95 
2010-01-06,8853.13 ,,2628.10 ,2988.16 
2010-01-07,8633.63 ,,2579.11 ,2932.46 
2010-01-08,8614.02 ,,2605.80 ,2962.80 
2010-01-11,8549.82 ,,2605.75 ,2962.74 
2010-01-12,8771.82 ,,2659.44 ,3023.79 
2010-01-13,8644.38 ,,2716.98 ,3089.21 
2010-01-14,9016.66 ,,2811.02 ,3196.13 
2010-01-15,9047.01 ,,2793.68 ,3176.42 
2010-01-18,9141.04 ,,2913.66 ,3312.84 
2010-01-19,9058.97 ,,2900.10 ,3297.42 
2010-01-20,8779.90 ,,2844.95 ,3234.71 
2010-01-21,8800.17 ,,2871.98 ,3265.45 
2010-01-22,8615.00 ,,2748.95 ,3125.56 
2010-01-25,8692.47 ,,2702.68 ,3072.96 
2010-01-26,8622.50 ,,2613.22 ,2971.23 
2010-01-27,8422.04 ,,2609.82 ,2967.38 
2010-01-28,8588.37 ,,2665.85 ,3031.08 
2010-01-29,8646.08 ,,2676.76 ,3043.49 
2010-01-31,,,,
2010-02-01,8720.86 ,,2646.58 ,3009.17 
2010-02-02,8574.47 ,,2612.36 ,2970.26 
2010-02-03,8565.77 ,,2663.92 ,3028.89 
2010-02-04,8644.96 ,,2732.69 ,3107.08 
2010-02-05,8628.42 ,,2720.96 ,3093.74 
2010-02-08,8637.10 ,,2732.82 ,3107.23 
2010-02-09,8628.06 ,,2712.04 ,3083.60 
2010-02-10,8689.55 ,,2726.05 ,3099.53 
2010-02-11,8778.79 ,,2698.60 ,3068.32 
2010-02-12,8778.81 ,,2744.25 ,3120.22 
2010-02-22,8597.76 ,,2768.20 ,3147.45 
2010-02-23,8463.15 ,,2764.00 ,3142.67 
2010-02-24,8557.43 ,,2805.71 ,3190.09 
2010-02-25,8599.59 ,,2860.94 ,3252.90 
2010-02-26,8502.45 ,,2864.03 ,3256.41 
2010-02-28,,,,
2010-03-01,8526.94 ,,2891.61 ,3287.77 
2010-03-02,8510.80 ,,2833.49 ,3221.69 
2010-03-03,8518.15 ,,2847.95 ,3238.12 
2010-03-04,8433.19 ,,2764.09 ,3142.77 
2010-03-05,8427.33 ,,2761.29 ,3139.60 
