指标名称,价格:白酒:飞天茅台(53度):500ml:一号店,价格:白酒:剑南春(52度):500ml:一号店
2010-01-31,663.34 ,244.99 
2010-03-31,679.80 ,247.78 
2010-04-30,651.52 ,255.55 
2010-05-31,674.60 ,261.15 
2010-06-30,665.00 ,242.03 
2010-07-31,699.31 ,254.38 
2010-08-31,736.10 ,287.25 
2010-09-30,762.60 ,275.78 
2010-10-31,831.83 ,267.88 
2010-11-30,849.31 ,277.73 
2010-12-31,1051.60 ,354.92 
2011-01-31,996.31 ,293.17 
2011-02-28,1112.10 ,297.62 
2011-03-31,1012.60 ,292.58 
2011-04-30,1063.77 ,296.63 
2011-05-31,1103.40 ,291.51 
2011-06-30,1285.10 ,303.91 
2011-07-31,1290.27 ,301.32 
2011-08-31,1358.20 ,346.33 
2011-09-30,1480.20 ,333.15 
2011-10-31,1576.93 ,326.93 
2011-11-30,1662.27 ,345.18 
2011-12-31,1892.40 ,359.99 
2012-01-31,1947.80 ,372.84 
2012-02-29,1743.31 ,336.43 
2012-03-31,1917.27 ,394.11 
2012-04-30,1703.10 ,386.18 
2012-05-31,1587.80 ,409.11 
2012-06-30,1610.20 ,349.74 
2012-07-31,1638.00 ,425.37 
2012-08-31,1678.10 ,401.51 
2012-09-30,1638.00 ,425.38 
2012-10-31,1690.31 ,396.50 
2012-11-30,1674.60 ,390.06 
2012-12-31,1598.72 ,428.13 
2013-01-04,1518.00 ,418.00 
2013-01-11,1488.00 ,418.00 
2013-01-18,1588.00 ,418.00 
2013-01-25,1688.00 ,418.00 
2013-01-31,,
2013-02-01,1688.00 ,418.00 
2013-02-08,1518.00 ,418.00 
2013-02-15,1458.00 ,398.00 
2013-02-22,1588.00 ,428.00 
2013-02-28,,
2013-03-01,1488.00 ,418.00 
2013-03-08,1488.00 ,418.00 
2013-03-15,1488.00 ,418.00 
2013-03-22,1519.00 ,399.00 
2013-03-29,1519.00 ,418.00 
2013-03-31,,
2013-04-05,1519.00 ,418.00 
2013-04-12,1519.00 ,418.00 
2013-04-19,1519.00 ,398.00 
2013-04-26,1519.00 ,398.00 
2013-04-30,,
2013-05-03,1799.00 ,398.00 
2013-05-10,1799.00 ,398.00 
2013-05-17,1388.00 ,398.00 
2013-05-24,1388.00 ,398.00 
2013-05-31,1099.00 ,373.00 
2013-06-07,1099.00 ,375.00 
2013-06-14,1099.00 ,488.00 
2013-06-21,1099.00 ,369.00 
2013-06-28,999.00 ,369.00 
2013-06-30,,
2013-07-05,999.00 ,369.00 
2013-07-12,999.00 ,369.00 
2013-07-19,999.00 ,369.00 
2013-07-26,999.00 ,488.00 
2013-07-31,,
2013-08-02,1088.00 ,388.00 
2013-08-09,1088.00 ,375.00 
2013-08-16,999.00 ,369.00 
2013-08-23,,369.00 
2013-08-30,,369.00 
2013-08-31,,
2013-09-06,1088.00 ,378.00 
2013-09-13,968.00 ,369.00 
2013-09-20,968.00 ,369.00 
2013-09-27,988.00 ,378.00 
2013-10-04,988.00 ,378.00 
2013-10-11,988.00 ,378.00 
2013-10-18,988.00 ,378.00 
2013-10-25,988.00 ,378.00 
2013-11-01,958.00 ,369.00 
2013-11-08,958.00 ,369.00 
2013-11-15,958.00 ,369.00 
2013-11-22,949.00 ,369.00 
2013-11-29,949.00 ,369.00 
2013-12-06,938.00 ,359.00 
2013-12-13,938.00 ,359.00 
2013-12-20,938.00 ,359.00 
2013-12-27,938.00 ,359.00 
2014-01-03,918.00 ,369.00 
2014-01-10,918.00 ,369.00 
2014-01-17,899.00 ,369.00 
2014-01-24,999.00 ,369.00 
2014-01-31,999.00 ,369.00 
2014-02-07,999.00 ,369.00 
2014-02-14,999.00 ,398.00 
2014-02-21,999.00 ,388.00 
2014-02-28,999.00 ,369.00 
2014-03-07,999.00 ,369.00 
2014-03-14,999.00 ,369.00 
2014-03-21,999.00 ,379.00 
2014-03-28,999.00 ,388.00 
2014-04-04,999.00 ,369.00 
2014-04-11,1018.00 ,369.00 
2014-04-18,1058.00 ,369.00 
2014-04-25,1058.00 ,369.00 
2014-05-02,1058.00 ,379.00 
2014-05-09,1058.00 ,379.00 
2014-05-16,1058.00 ,379.00 
2014-05-23,999.00 ,369.00 
2014-05-30,999.00 ,369.00 
2014-06-06,999.00 ,369.00 
2014-06-13,999.00 ,369.00 
2014-06-20,898.00 ,369.00 
2014-06-27,898.00 ,359.00 
2014-07-04,898.00 ,369.00 
2014-07-11,898.00 ,369.00 
2014-07-18,875.00 ,349.00 
2014-07-25,898.00 ,369.00 
2014-08-01,869.00 ,339.00 
2014-08-08,958.00 ,369.00 
2014-08-15,899.00 ,359.00 
2014-08-22,888.00 ,359.00 
2014-08-29,868.00 ,339.00 
2014-09-05,958.00 ,359.00 
2014-09-12,958.00 ,389.00 
2014-09-19,958.00 ,359.00 
2014-09-26,958.00 ,359.00 
2014-10-03,,359.00 
2014-10-10,958.00 ,359.00 
2014-10-17,899.00 ,359.00 
2014-10-24,899.00 ,359.00 
2014-10-31,888.00 ,349.00 
2014-11-07,868.00 ,338.00 
2014-11-14,868.00 ,339.00 
2014-11-21,898.00 ,359.00 
2014-11-28,868.00 ,338.00 
2014-12-05,888.00 ,359.00 
2014-12-12,858.00 ,338.00 
2014-12-19,869.00 ,349.00 
2014-12-26,858.00 ,338.00 
2015-01-02,869.00 ,349.00 
2015-01-09,869.00 ,349.00 
2015-01-16,855.00 ,349.00 
2015-01-23,839.00 ,335.00 
2015-01-30,839.00 ,335.00 
2015-02-06,839.00 ,335.00 
2015-02-13,839.00 ,335.00 
2015-02-20,888.00 ,359.00 
2015-02-27,888.00 ,359.00 
2015-03-06,888.00 ,359.00 
2015-03-13,868.00 ,359.00 
2015-03-20,868.00 ,349.00 
2015-03-27,839.00 ,329.00 
2015-04-03,885.00 ,339.00 
2015-04-10,885.00 ,348.00 
2015-04-17,885.00 ,348.00 
2015-04-24,885.00 ,348.00 
