指标名称,美元指数,伦敦现货黄金:以美元计价,美国:标准普尔500指数,美国:主要经济指标预测:联邦基金利率,美国:国债实际收益率:5年期,美国:国债实际收益率:7年期,美国:国债实际收益率:10年期,美国:国债实际收益率:20年期,美国:国债实际收益率:30年期,美国:联邦基金目标利率,美国:就业率:季调,现货价:原油:俄罗斯ESPO,现货价:原油(阿曼):环太平洋,现货价:原油(阿联酋迪拜):环太平洋,现货价:原油:科威特能源公司,现货价:原油(迪拜):中东离岸,申万行业指数:黄金,产量:黄金:累计值(黄金协会),消费量:黄金:累计值,消费量:黄金:黄金首饰:累计值,消费量:黄金:金条:累计值,消费量:黄金:金币:累计值,消费量:黄金:累计同比,消费量:黄金:黄金首饰:累计同比,消费量:黄金:金条:累计同比,消费量:黄金:金币:累计同比,RPI:金银珠宝:当月同比,城市RPI:金银珠宝:当月同比,农村RPI:金银珠宝:当月同比
2010-01-01,,,,,,,,,,,,,,,,77.38 ,,,,,,,,,,,,,
2010-01-04,77.51 ,1121.50 ,1132.99 ,,0.52 ,0.97 ,1.47 ,2.04 ,,,,,78.58 ,78.29 ,,79.54 ,10052.56 ,,,,,,,,,,,,
2010-01-05,77.63 ,1123.25 ,1136.52 ,,0.44 ,0.91 ,1.43 ,1.97 ,,,,,80.04 ,79.74 ,,79.73 ,10260.83 ,,,,,,,,,,,,
2010-01-06,77.47 ,1130.00 ,1137.14 ,,0.44 ,0.94 ,1.48 ,2.03 ,,,,,80.10 ,79.80 ,,80.93 ,10106.66 ,,,,,,,,,,,,
2010-01-07,77.99 ,1130.25 ,1141.69 ,,0.43 ,0.91 ,1.44 ,2.02 ,,,,,80.98 ,80.68 ,,80.63 ,9936.64 ,,,,,,,,,,,,
2010-01-08,77.48 ,1126.75 ,1144.98 ,,0.39 ,0.88 ,1.41 ,2.00 ,,,,,80.66 ,80.33 ,,80.50 ,9859.49 ,,,,,,,,,,,,
2010-01-11,77.02 ,1153.00 ,1146.98 ,,0.46 ,0.88 ,1.47 ,2.04 ,,,,,81.67 ,81.30 ,,79.86 ,9980.71 ,,,,,,,,,,,,
2010-01-12,77.00 ,1151.25 ,1136.22 ,,0.34 ,0.78 ,1.35 ,1.96 ,,,,,80.40 ,80.03 ,,78.46 ,10028.21 ,,,,,,,,,,,,
2010-01-13,76.84 ,1127.25 ,1145.68 ,,0.42 ,0.86 ,1.43 ,2.05 ,,,,,78.33 ,77.95 ,,77.51 ,9749.35 ,,,,,,,,,,,,
2010-01-14,76.76 ,1138.25 ,1148.46 ,,0.39 ,0.84 ,1.40 ,2.01 ,,,,,78.86 ,78.50 ,,77.16 ,9785.62 ,,,,,,,,,,,,
2010-01-15,77.20 ,1128.00 ,1136.03 ,,0.34 ,0.78 ,1.34 ,2.00 ,,,,,77.85 ,77.60 ,,76.21 ,9819.15 ,,,,,,,,,,,,
2010-01-18,77.11 ,1134.50 ,,,,,,,,,,,76.71 ,76.46 ,,76.50 ,9775.75 ,,,,,,,,,,,,
2010-01-19,77.53 ,1133.00 ,1150.23 ,,0.39 ,0.77 ,1.35 ,2.01 ,,,,,76.45 ,76.15 ,,76.79 ,9898.59 ,,,,,,,,,,,,
2010-01-20,78.36 ,1120.25 ,1138.04 ,,0.36 ,0.74 ,1.31 ,1.98 ,,,,,76.68 ,76.44 ,,75.31 ,9585.95 ,,,,,,,,,,,,
2010-01-21,78.43 ,1108.25 ,1116.48 ,,0.40 ,0.83 ,1.29 ,1.95 ,,,,,76.15 ,75.90 ,,73.83 ,9408.59 ,,,,,,,,,,,,
2010-01-22,78.27 ,1084.00 ,1091.76 ,,0.42 ,0.84 ,1.31 ,1.96 ,,,,,74.58 ,74.36 ,,72.12 ,9156.50 ,,,,,,,,,,,,
2010-01-25,78.20 ,1095.25 ,1096.78 ,,0.42 ,0.85 ,1.33 ,2.00 ,,,,,72.57 ,72.27 ,,72.99 ,9224.18 ,,,,,,,,,,,,
2010-01-26,78.50 ,1093.25 ,1092.17 ,,0.41 ,0.83 ,1.31 ,1.99 ,,,,,72.63 ,72.28 ,,72.50 ,8914.99 ,,,,,,,,,,,,
2010-01-27,78.72 ,1094.75 ,1097.50 ,,0.47 ,0.89 ,1.35 ,2.00 ,,,,,72.66 ,72.26 ,,71.43 ,8695.81 ,,,,,,,,,,,,
2010-01-28,78.93 ,1088.00 ,1084.53 ,,0.47 ,0.89 ,1.35 ,1.97 ,,,,,72.53 ,72.17 ,,71.38 ,8641.29 ,,,,,,,,,,,,
2010-01-29,79.49 ,1078.50 ,1073.87 ,,0.43 ,0.85 ,1.30 ,1.93 ,,,,,71.77 ,71.29 ,,70.86 ,8571.29 ,,,,,,,,,,,,
2010-01-31,,,,,,,,,,,58.50 ,,,,,,,21.81 ,,,,,,,,,14.90 ,14.90 ,14.70 
2010-02-01,79.19 ,1086.50 ,1089.19 ,,0.39 ,0.81 ,1.29 ,1.92 ,,,,,71.57 ,71.17 ,,72.80 ,8285.43 ,,,,,,,,,,,,
2010-02-02,79.00 ,1111.00 ,1103.32 ,,0.35 ,0.79 ,1.26 ,1.91 ,,,,,73.25 ,72.80 ,,75.71 ,8721.56 ,,,,,,,,,,,,
2010-02-03,79.41 ,1115.25 ,1097.28 ,,0.35 ,0.80 ,1.30 ,1.96 ,,,,,76.38 ,75.97 ,,75.54 ,8908.70 ,,,,,,,,,,,,
2010-02-04,80.00 ,1083.25 ,1063.11 ,,0.30 ,0.75 ,1.27 ,1.93 ,,,,,75.08 ,74.77 ,,71.39 ,8721.58 ,,,,,,,,,,,,
2010-02-05,80.25 ,1058.00 ,1066.19 ,,0.34 ,0.80 ,1.32 ,1.97 ,,,,,70.93 ,70.61 ,,68.42 ,8450.55 ,,,,,,,,,,,,
2010-02-08,80.38 ,1064.00 ,1056.74 ,,0.35 ,0.81 ,1.35 ,1.98 ,,,,,69.83 ,69.40 ,,69.38 ,8489.11 ,,,,,,,,,,,,
2010-02-09,79.77 ,1071.25 ,1070.52 ,,0.38 ,0.85 ,1.37 ,2.01 ,,,,,70.45 ,69.97 ,,71.69 ,8614.83 ,,,,,,,,,,,,
2010-02-10,80.04 ,1069.50 ,1068.13 ,,0.42 ,0.89 ,1.44 ,2.08 ,,,,,71.84 ,71.33 ,,72.11 ,8643.61 ,,,,,,,,,,,,
2010-02-11,79.99 ,1076.25 ,1078.47 ,,0.43 ,0.92 ,1.47 ,2.13 ,,,,,72.78 ,72.24 ,,72.57 ,8745.81 ,,,,,,,,,,,,
2010-02-12,80.24 ,1082.00 ,1075.51 ,,0.39 ,0.88 ,1.46 ,2.12 ,,,,,73.28 ,72.72 ,,71.76 ,8974.71 ,,,,,,,,,,,,
2010-02-15,80.38 ,1098.25 ,,,,,,,,,,,,,,71.47 ,,,,,,,,,,,,,
2010-02-16,79.64 ,1115.25 ,1094.87 ,,0.37 ,0.87 ,1.42 ,2.09 ,,,,,,,,74.59 ,,,,,,,,,,,,,
2010-02-17,80.47 ,1119.00 ,1099.51 ,,0.39 ,0.88 ,1.46 ,2.12 ,,,,,75.38 ,74.97 ,,75.09 ,,,,,,,,,,,,,
2010-02-18,80.92 ,1118.00 ,1106.75 ,,0.44 ,0.95 ,1.48 ,2.13 ,,,,,74.28 ,73.80 ,,76.33 ,,,,,,,,,,,,,
2010-02-19,80.53 ,1112.75 ,1109.17 ,,0.51 ,1.01 ,1.52 ,2.14 ,,,,,75.23 ,74.70 ,,76.63 ,,,,,,,,,,,,,
2010-02-22,80.56 ,1115.25 ,1108.01 ,,0.55 ,1.09 ,1.55 ,2.04 ,2.22 ,,,,76.83 ,76.38 ,,77.04 ,8907.32 ,,,,,,,,,,,,
2010-02-23,80.92 ,1107.00 ,1094.60 ,,0.47 ,1.00 ,1.50 ,2.00 ,2.14 ,,,,76.88 ,76.50 ,,75.55 ,8739.76 ,,,,,,,,,,,,
2010-02-24,80.77 ,1103.00 ,1105.24 ,,0.50 ,1.03 ,1.51 ,2.00 ,2.16 ,,,,75.70 ,75.30 ,,76.37 ,8807.05 ,,,,,,,,,,,,
2010-02-25,80.74 ,1094.50 ,1102.94 ,,0.50 ,1.03 ,1.51 ,2.01 ,2.16 ,,,,76.28 ,75.88 ,,74.35 ,8872.77 ,,,,,,,,,,,,
2010-02-26,80.35 ,1108.25 ,1104.49 ,,0.47 ,0.99 ,1.48 ,1.98 ,2.13 ,,,,74.53 ,74.13 ,,75.75 ,8820.44 ,,,,,,,,,,,,
2010-02-28,,,,,,,,,,,58.50 ,,,,,,,42.94 ,,,,,,,,,11.80 ,11.70 ,12.00 
2010-03-01,80.72 ,1114.00 ,1115.71 ,,0.45 ,0.98 ,1.46 ,1.98 ,2.14 ,,,,76.88 ,76.48 ,,76.02 ,8998.13 ,,,,,,,,,,,,
2010-03-02,80.47 ,1126.50 ,1118.31 ,,0.44 ,0.98 ,1.46 ,1.98 ,2.14 ,,,,75.65 ,75.15 ,,76.77 ,8825.95 ,,,,,,,,,,,,
2010-03-03,80.01 ,1136.50 ,1118.79 ,,0.43 ,0.97 ,1.46 ,1.99 ,2.15 ,,,,76.55 ,76.05 ,,77.74 ,8916.71 ,,,,,,,,,,,,
2010-03-04,80.55 ,1134.50 ,1122.97 ,,0.44 ,0.96 ,1.44 ,1.96 ,2.12 ,,,,77.03 ,76.52 ,,76.96 ,8676.80 ,,,,,,,,,,,,
2010-03-05,80.44 ,1135.00 ,1138.70 ,,0.46 ,1.00 ,1.48 ,1.99 ,2.15 ,,,,77.53 ,76.97 ,,78.38 ,8703.24 ,,,,,,,,,,,,
2010-03-08,80.43 ,1125.75 ,1138.50 ,,0.49 ,1.03 ,1.49 ,2.00 ,2.17 ,,,,78.66 ,78.10 ,,78.77 ,8780.68 ,,,,,,,,,,,,
2010-03-09,80.56 ,1115.75 ,1140.45 ,,0.46 ,0.99 ,1.48 ,2.02 ,2.19 ,,,,78.14 ,77.55 ,,78.12 ,8741.46 ,,,,,,,,,,,,
2010-03-10,80.40 ,1120.50 ,1145.61 ,,0.48 ,1.01 ,1.49 ,2.00 ,2.18 ,,,,77.93 ,77.50 ,,78.75 ,8826.38 ,,,,,,,,,,,,
