"","time","actual","pred"
"1",2011 Q1,293087615.789306,291706059.815195
"2",2011 Q2,399028154.102083,334326315.735117
"3",2011 Q3,410903243.24875,373732982.620257
"4",2011 Q4,263352515.517763,344191147.343607
"5",2012 Q1,284182513.128889,359858090.960709
"6",2012 Q2,348098533.338333,324505481.950208
"7",2012 Q3,312462363.832222,334518937.633251
"8",2012 Q4,351856904.812778,300566263.536834
"9",2013 Q1,211408868.166886,226620580.453262
"10",2013 Q2,123439254.601096,127046308.980602
"11",2013 Q3,123173740.451097,59924357.8683508
"12",2013 Q4,-53773709.82125,55495858.9146237
"13",2014 Q1,86139050.6334722,68249359.839599
"14",2014 Q2,137093985.551806,59698864.7632129
"15",2014 Q3,128273552.862639,82070286.7093649
"16",2014 Q4,-30220346.2551389,33468330.7295277
"17",2015 Q1,8943009.25861111,45962050.9917046
"18",2015 Q2,92508587.4986111,60202471.0973492
"19",2015 Q3,58602074.1208333,58231348.8111536
"20",2015 Q4,19885298.4147222,53944834.2723768
"21",2016 Q1,34693192.0921053,71219935.2718228
"22",2016 Q2,111208190.331111,86489022.5246231
"23",2016 Q3,118440115.775833,107166714.113643
"24",2016 Q4,78906908.2397222,95988562.1170816
"25",2017 Q1,148826710.953529,105336159.592334
