"","time","actual","pred"
"1",2011 Q1,3113108669.16713,3911376241.9882
"2",2011 Q2,4201920609.41713,5023322174.22267
"3",2011 Q3,4594024796.45241,4868937277.028
"4",2011 Q4,4629818128.03632,4858367020.77861
"5",2012 Q1,4492266694.24278,3957995870.03071
"6",2012 Q2,5100508127.44778,5125687524.1198
"7",2012 Q3,6000855496.12111,4938307883.19484
"8",2012 Q4,5525679599.35944,5247148749.20098
"9",2013 Q1,5076781272.89066,4383987239.95288
"10",2013 Q2,6078983208.93487,5491280660.09188
"11",2013 Q3,4678969465.4375,5513294397.71642
"12",2013 Q4,5627450153.8057,5853534586.04448
"13",2014 Q1,5325433993.89181,5159734802.2893
"14",2014 Q2,6516610489.41236,6201438776.62388
"15",2014 Q3,5769953132.27097,6157038617.90398
"16",2014 Q4,7025067011.11375,6519593485.74703
"17",2015 Q1,5531594240.27569,5692372578.41612
"18",2015 Q2,6373186153.27681,6707833079.22517
"19",2015 Q3,7104249253.04736,6602877845.97904
"20",2015 Q4,5701647277.02721,6633106562.13609
"21",2016 Q1,5526114475.91833,5787463138.27082
"22",2016 Q2,6737292726.55333,6458939100.75888
"23",2016 Q3,6476198026.1725,6543794147.67957
"24",2016 Q4,7533643990.71972,6931555756.15494
"25",2017 Q1,5908474506.06235,6080843981.50072
